Lake,Lake_formatted
ENNERDALE AS PART OF A WQ SURVEY,Ennerdale water -wq survey
ENNERDALE WATER (WFD STILLWATER SITE),Ennerdale water -stillwater
ENNERDALE WATER NEAR BOWNESS KNOTT,Ennerdale water -bowness knott
ESTHWAITE WATER - LAKES TOUR,Esthwaite water -lakes tour
ETHEL LAKE (NEAR COLD LAKE) - COMPOSITE - (AB06AC0620),Ethel Lake -cold lake
East Long Lake,East long lake
Edasjön,Edasjön
Edeskvarnaån NV,Edeskvarnaån NW.
Ekholmssjön,Ekholmssjön
Ekoln Vreta Udd,Ekoln Vreta Udd
Ekoln special,Ekoln special
Ellestadssjön,Ellestadssjön
Erie_cruise,Lake erie -cruise
Eriksundsbron,Eriksundsbron
Esthwaite,Esthwaite water
FIELD LAKE - SITE #1 - NORTH END VERTICAL COMPOSITE AT ONE SITE - (AB06AA0190),Field lake N.
FIELD LAKE - SITE #2 - CENTRE VERTICAL COMPOSITE AT ONE SITE - (AB06AA0200),Field lake -centre
FIELD LAKE - SITE #3 - SOUTH END VERTICAL COMPOSITE AT ONE SITE - (AB06AA0210),Field lake S.
FIELD LAKE - WHOLE LAKE COMPOSITE - (AB06AA0220),Field lake -whole lake
FIGURE EIGHT LAKE - COMPOSITE - (AB07HA0300),Figure eight lake
FILBY BROAD,Filby broad
FLOATINGSTONE LAKE - COMPOSITE - (AB06AA0310),Floatingstone lake
FONTHILL LAKE OUTLET,Fonthill lake -outlet
FORDWICH LAKE,Fordwich lake
FORK LAKE - COMPOSITE - (AB06AA1050),Fork lake
FRITTON LAKE AT COUNTRY PARK EDGE SAMPLE,Fritton lake -country park
FRITTON LAKES LOUND MILL WATER,Fritton lakes -lound mill
Fagerhultasjön,Fagerhultasjön
Fagertärn,Fagertärn
Farstusjön,Farstusjön
Fiolen,Fiolen
Fish,Fish lake
Fjällfotasjön,Fjällfotasjön
Fjärasjö,Fjärasjö
Fulleröfjärden S,Fulleröfjärden S
Funbosjön,Funbosjön
Furnesfjorden,Furnesfjorden
Fysingen,Fysingen
Fällbanken NO,Fällbanken NE.
Fällbanken NV,Fällbanken NW.
Försjön,Försjön
GARNIER LAKE (NORTH) - COMPOSITE - (AB06AC1190),Garnier lake N.
GEORGE LAKE - COMPOSITE - (AB07FD1410),George lake
GOODFISH LAKE - COMPOSITE - (AB06AA0322),Goodfish lake
GOOSE LAKE - COMPOSITE - (AB07AH0490),Goose lake
GRASMERE,Grasmere -england
GRASMERE WFD STILLWATER MONITORING POINT,Grasmere -stillwater
GREAT LAKE AT CLUMBER WFD POINT,Great lake
GREAT PUCKSTONE LAKE 2,Great puckstone lake
GREATSTONE LAKE,Greatstone lake
GREENLEE LOUGH FIXED,Greenlee lough
GREGOIRE LAKE - COMPOSITE - (AB07CE0120),Gregoire lake
GRISEDALE TARN (WFD STILLWATER SITE),Grisedale tarn
GULL LAKE - COMPOSITE - (AB05CC0600),Gull lake
Galten,Galten
Galten V,Galten W.
Garnsviken,Garnsviken
Georgian_bay,Georgian bay
Geten,Geten
Giles,Giles lake
Gipsjön,Gipsjön
Glan,Glan
Gosjön,Gosjön
Granfj. Djurgårds Udde,Granfj. Djurgårds Udde
Gransjön,Gransjön
Grasmere,Grasmere
Green_valley,Green valley lake
Grissjön,Grissjön
Grönskogssjön,Grönskogssjön
Gyltigesjön,Gyltigesjön
Gyslättasjön,Gyslättasjön
Gåtejaure,Gåtejaure
Görväln S,Görväln S.
HARDISTY LAKE - COMPOSITE - (AB05FB0090),Hardisty lake
HARDLEY FLOOD EDGE SAMPLE,Hardley flood
HATCH MERE,Hatch mere
HAUNTED LAKE (NEAR ALIX) - COMPOSITE - (AB05CD1660),Haunted lake
HAWES WATER (WFD STILLWATER SITE),Hawes water -stillwater
HAWESWATER - LAKES TOUR,Hawes water -lakes tour
HEIGHAM SOUND (R.THURNE),Heigham sound
HERONS CARR S ENCLOSURE 4 BARTON BROAD,Herons carr S.
HICKLING BROAD (R.THURNE),Hickling broad
HILDA LAKE - COMPOSITE - (AB06AC0580),Hilda lake
HORSEY MERE (R.THURNE),Horsey mere
HOVETON GREAT BROAD,Hoveton great broad
HOVETON GREAT BROAD EDGE,Hoveton great broad -edge
HOVETON LITTLE BROAD POUND END,Hoveton little broad
HOVETON LITTLE BROAD R.BURE,Hoveton little broad E.
HUBBLES LAKE - COMPOSITE - (AB05EA0640),Hubbles lake
"HUDSON'S BAY, R.BURE",Hudson's bay E.
Hagasjön,Hagasjön
Hagsjön,Hagsjön
Hamnarydssjön,Hamnarydssjön
Harasjön,Harasjön
Havgårdssjön,Havgårdssjön
Hedgärdessjö,Hedgärdessjö
Hemfjärden,Hemfjärden
Hinnasjön,Hinnasjön
Hjulstabron V,Hjulstabron W.
Holmeshultasjön,Holmeshultasjön
Horsan,Horsan
Hulingen,Hulingen
Hummingbird Lake,Hummingbird lake
Humsjön,Humsjön
Huron,Lake huron
Huskvarna,Huskvarna
Häckebergasjön,Häckebergasjön
Hällsjön,Hällsjön
Härbillingen,Härbillingen
Härö Nygrund NO,Härö Nygrund NE.
Hökesjön,Hökesjön
IOSEGUN LAKE - COMPOSITE - (AB07GG0030),Iosegun lake
ISLAND LAKE - COMPOSITE - (AB07BE0860),Island lake
ISLE LAKE - COMPOSITE - (AB05EA0460),Isle lake
Ivösjön,Ivösjön
"Ivösjön, öster om Bäckaskog","Ivösjön, öster om Bäckaskog"
JACKFISH LAKE (NEAR CARVEL) - COMPOSITE - (AB05DE0670),Jackfish lake
JARVIS LAKE - COMPOSITE - (AB07AC0100),Jarvis lake
Jungfrun NV,Jungfrun NV
KEDLESTON PARK LAKE AT FOOTBRIDGE,Kedleston park lake
KIELDER WATER AT DAM NORTH SLIPWAY,Kielder water
"KINGSMEAD SMALL LAKE, HORTON",Kingsmead lake
Klasbådarna NV,Klasbådarna NW.
Klintsjön,Klintsjön
Klosjön,Klosjön
Knutsnabben,Knutsnabben
Kolsnaren,Kolsnaren
Kolsundet SO,Kolsundet SE.
Krageholmssjön,Krageholmssjön
Kroktjärn,Kroktjärn
Kvicksundsbron,Kvicksundsbron
Källsjön,Källsjön
Kållen,Kållen
Kånkåstjärnen,Kånkåstjärnen
L. Ullevifjärden N,Ullevifjärden N.
L. Ullevifjärden S,Ullevifjärden S.
LAC LA BICHE - EAST BASIN COMPOSITE - (AB07CA0200),Lac la biche E.
LAC LA BICHE - WEST BASIN COMPOSITE - (AB07CA0110),Lac la biche W.
LAC LA NONNE - WHOLE LAKE COMPOSITE - (AB07BB0960),Lac la nonne
LAC SAINT CYR - EAST AND WEST BASIN COMPOSITE - (AB05ED0245),Lac saint cyr -east and west basin
LAC SAINT CYR - NORTH BASIN COMPOSITE - (AB05ED0255),Lac saint cyr -north basin
LAC SAINT CYR - WHOLE LAKE COMPOSITE - (AB05ED0260),Lac saint cyr -whole lake
LAC SANTE - WHOLE LAKE COMPOSITE - (AB05ED0365),Lac sante
LAC STE. ANNE - EAST SIDE COMPOSITE - (AB05EA0570),Lac ste. Anne E.
LAC STE. ANNE - WEST SIDE COMPOSITE - (AB05EA0580),Lac ste. Anne W.
LAC STE. ANNE - WHOLE LAKE COMPOSITE - (AB05EA0595),Lac ste. Anne -whole lake
LACOMBE LAKE - COMPOSITE - (AB05FA2096),Lacombe lake
LAKE AT BURGHFIELD,Burghfield lake
LAKE AT SONNING EYE,Sonning eye lake
LAKE MCGREGOR - COMPOSITE - (AB05AC0480),Lake McGregor
LAKE NEWELL - COMPOSITE - (AB05BN0270),Lake newell
LAURIER LAKE - COMPOSITE - (AB05ED1260),Laurier lake
LEE LAKE - COMPOSITE - (AB05AA1071),Lee lake
LEGEND LAKE (L25): RAMP BM1 - COMPOSITE - (AB07JE0080),Legend lake
LEPINE LAKE - COMPOSITE - (SA06AF0270),Lepine lake
LESSARD LAKE - COMPOSITE - (AB07BB0985),Lessard lake
LESSER SLAVE LAKE - WEST BASIN COMPOSITE - (AB07BG0030),Lesse slave lake
LITTLE BEAVER LAKE - COMPOSITE - (AB05FC1070),Little beaver lake
LITTLE FISH LAKE - COMPOSITE - (AB05CG0030),Little fish lake
LITTLE LANGDALE TARN,Little langdale tarn
LITTLESEA LAKE,Littlesea lake
LONG ISLAND LAKE - NORTH BASIN COMPOSITE - (AB07BC0130),Long island lake N.
LONG LAKE (NEAR BOYLE) - COMPOSITE - (AB05EC0340),Long lake -boyle
LONG LAKE (NEAR PIGEON LAKE) - COMPOSITE - (AB05FA0440),Long lake -pigeon
LOUGHRIGG TARN - LAKES TOUR,Loughrigg tarn
LOWER MANN LAKE - COMPOSITE - (AB06AA0170),Lower mann lake
LOWESWATER AS PART OF A WQ SURVEY,Loweswater -wq survey
LOWESWATER FFD SITE AT NY 12765 21243,Loweswater
Lacawac,Lacawac
Lambarfjärden,Lambarfjärden
Lien,Lien
Lill-Roten,Lill-Roten
Lilla Turingen,Lilla Turingen
Lillasjön,Lillasjön
Lillesjö,Lillesjö
Lillsjön,Lillsjön
Limmingsjön,Limmingsjön
Lindöviken V,Lindöviken W.
Loch leven,Loch leven
Logsjön  mitt,Logsjön  mitt
Lurön NO,Lurön NE.
Långesjön,Långesjön
Långhalsen Spikön,Långhalsen Spikön
Långhalsen Torpfjärden,Långhalsen Torpfjärden
"Långhalsen, Spikön","Långhalsen, Spikön"
Långsjön,Långsjön
MALHAM TARN,Malham tarn
MALHAM TARN (WEST BOAT HOUSE),Malham tarn W.
MARIE LAKE - COMPOSITE - (AB06AC0670),Marie lake
MARTHAM SOUTH BROAD (R.THURNE),Martham south broad
MATCHAYAW LAKE - COMPOSITE - (AB05EA0450),Matchayaw lake
MAY LAKE - COMPOSITE - (AB06AC0700),May lake
MAYATAN LAKE - EAST BASIN COMPOSITE - (AB05DE2320),Mayatan lake -east basin
MAYATAN LAKE - WHOLE LAKE COMPOSITE - (AB05DE2311),Mayatan lake -whole lake
MCLEOD LAKE - EAST COMPOSITE - (AB07AE0440),Mcleod lake E.
MCLEOD LAKE - WEST COMPOSITE - (AB07AE0410),Mcleod lake W.
MEDICINE LAKE - COMPOSITE - (AB05CC1515),Medicine lake
MELBOURNE WTW STAUNTON HAROLD DWD S/P,Melbourne lake
MERE ELLESMERE SP SURVEY SAMP. POINT 4,Mere ellesmere
MERE MERE (MID MERE SAMPLE FROM BOAT),Mere mere
MERE MERE (SAMPLE FROM WATERS EDGE),Mere mere -edge
MIDDLE CHAIN LAKE (NEAR PONOKA) - COMPOSITE - (AB05CD2170),Middle chain lake
MILFORD LAKE,Mildford lake
MOCKBEGGAR LAKE,Mockbeggar lake
MOONSHINE LAKE - COMPOSITE - (AB07FD0230),Moonshine lake
MOORE (CRANE) LAKE - COMPOSITE - (AB06AC0550),Moore (crane) lake
MOOSE LAKE - VEZEAU BAY COMPOSITE - (AB06AC0370),Moose lake -vezeau bay
MOOSE LAKE - WHOLE LAKE COMPOSITE - (AB06AC0350),Moose lake -whole lake
MURIEL LAKE - WHOLE LAKE COMPOSITE - (AB06AC0290),Muriel lake
MURSTON ANGLING LAKE,Murston angling lake
MUSREAU LAKE - COMPOSITE - (AB07GB0050),Musreau lake
Magsjön,Magsjön
Mariestadsviken  M1,Mariestadsviken  -site 1
Mariestadsviken  M2,Mariestadsviken  -site 2
Megrundet N,Megrundet N.
Mellanfjärden,Mellanfjärden
Mendota,Lake mendota
Mjøsa,Mjøsa
"Mjøsa, Furnesfjorden","Mjøsa, Furnesfjorden"
"Mjøsa, Skreia","Mjøsa, Skreia"
Monona,lake monona
Moon,Moon lake
Mossjön,Mossjön
"Mälaren, Erikssund",Mälaren -erikssund
Möckeln,Möckeln
"N Dellen, D80",Dellen N.
N. Barken,Barken N.
N. Särnamannasjön,Särnamannasjön N.
N. Yngern,Yngern N.
NAKAMUN LAKE - COMPOSITE - (AB07BB0300),Nakamun lake
NEWHOUSES TARN (BOAT HOUSE),Newhouses tarn
NOOK LAKE,Nook lake
NORTH BUCK LAKE - COMPOSITE - (AB06AA0340),North buck lake
NORTH POINT LAKE,North point lake
Navarn,Navarn lake
Nedre Milsbosjön,Nedre Milsbosjön
Nedre Svartsjön,Nedre Svartsjön
Nordmyrasjön,Nordmyrasjön
Norra Baksjön,Norra Baksjön
"NorraVänern, Ölmeviken",NorraVänern -ölmeviken
Norrsjön,Norrsjön
Nässjön,Nässjön
OAK MERE,Oak mere
OAK MERE NEAR INTERSECTION OF A54 & A49,Oak mere -intersection
ORLOFF LAKE - COMPOSITE - (AB07CB0820),Orloff lake
ORMESBY BROAD,Ormesby broad
ORMESBY LITTLE BROAD,Ormesby little broad
"OUTPUT OF THE LAKE AT SLUICE, STOVER",Stover -lake output
Octopus,Octopus lake
Oneida,Oneida lake
Ontario,Lake ontario
Oppmannasjön,Oppmannasjön
"Oppmannasjön, Arkelstorpsviken",Oppmannasjön -arkelstorpsviken
"Osbysjön, Norra Osbysjön",Osbysjön -norra osbysjön
PAKOWKI LAKE - CENTRAL ZONE COMPOSITE - (AB05AF0460),Pakowki lake -central
PAKOWKI LAKE - WEST OF BERM COMPOSITE - (AB05AF0490),Pakowki lake W.
PIERCE LAKE - COMPOSITE - (SA06AF0230),Pierce lake
PIGEON LAKE - COMPOSITE - (AB05FA0480),Pigeon lake
PINE LAKE - COMPOSITE - (AB05CE0920),Pine lake
PINE LAKE - MIDDLE REGION COMPOSITE - (AB05CE0950),Pine lake -middle
PINE LAKE - NORTH SIDE REGION COMPOSITE - (AB05CE0980),Pine lake -north
PINE LAKE - SOUTH SIDE REGION COMPOSITE - (AB05CE0910),Pine lake -south
PRIMROSE LAKE - NORTH BASIN COMPOSITE - (SA06AF0130),Primrose lake -north basin
PRIMROSE LAKE - SOUTH BASIN COMPOSITE - (AB06AF0200),Primrose lake -south basin
Paul Lake,Paul Lake
Peter Lake,Peter Lake
Prospect Point,Prospect Point
Prospect Point,Prospect Point
Prästfjärden,Prästfjärden
RANWORTH BROAD,Ranworth broad
RED TARN (WFD STILLWATER SITE),Red tarn -stillwater
ROCKFORD LAKE,Rockford lake
ROCKLAND BROAD (R.YARE),Rockland broad
ROLLESBY BROAD SAILING CLUB,Rollesby broad
ROSTHERNE MERE NEAR OUTLET,Rostherne mere
ROSTHERNE MERE OUTLET TO BLACKBURNS BK,Rostherne mere -outlet
ROTHAY D/S RYDAL WATER U/S RYDAL BECK,Rothay
RUTLAND WATER AT HAMBLETON SOUTH SHORE,Rutland water -hambleton south
RUTLAND WATER LIM.TOWER 0-5M SAMPLE,Rutland water -tower
RUTLAND WATER NORTH BUOY 1 0-5M SAMPLE,Rutland water -north buoy
RUTLAND WATER S BUOY 12 0-5M DEPTH SAMPL,Rutland water -south buoy
Rammsjön,Rammsjön
Ramsjön,Ramsjön
"Roxen Li15, centrala delen",Roxen -centrala delen
Roxen S,Roxen S.
Rundbosjön,Rundbosjön
Rädsjön,Rädsjön
"Råbelövssjön, södra delen","Råbelövssjön, södra delen"
S. Barken,Barken S.
S. Björkfjärden SO,Björkfjärden SE.
SANDY LAKE - NORTH BASIN COMPOSITE - (AB05EA0370),Sandy lake -north basin
SANDY LAKE - SOUTH BASIN COMPOSITE - (AB05EA0390),Sandy lake -south basin
SASKATOON LAKE - COMPOSITE - (AB07GE0240),Saskatoon lake
SEMER WATER,Semer water
SHEARWATER LAKE OUTFLOW,Shearwater lake outflow
SHERBORNE LAKE,Sherborne lake
SHININGBANK LAKE - COMPOSITE - (AB07AG0765),Shiningbank lake
SHORNCLIFFE LAKE - COMPOSITE - (AB05FD0030),Shorncliffe lake
SILER (STONEY) LAKE - COMPOSITE - (AB05ED0270),Siler (stoney) lake
SKELETON LAKE - COMPOSITE - (AB06AA0450),Skeleton lake
SKELETON LAKE - SOUTH BASIN - COMPOSITE - (AB06AA0410),Skeleton lake -south basin
SKELSMERGH TARN,Skelsmergh tarn
SLAPTON LEY,Slapton ley
SNAILS LAKE,Snails lake
SOUTH WALSHAM BROAD,South walsham broad
SOUTH WALSHAM BROAD EDGE,South walsham broad -edge
"STANBOROUGH SAILING LAKE, AT SAILING BAS",Stanborough sailing lake
STEELE (CROSS) LAKE - COMPOSITE - (AB07BC0110),Steele (cross) lake
STEWARTBY LAKE CONCRETE PLATFORM,Stewartby lake
STOVER LAKE SURFACE,Stover lake
STURGEON LAKE - MAIN BASIN COMPOSITE - (AB07GH0220),Sturgeon lake -main basin
STURGEON LAKE - WEST ARM COMPOSITE - (AB07GH0230),Sturgeon lake -west arm
SYLVAN LAKE - COMPOSITE - (AB05CC0700),Sylvan lake
Salen,Salen
"Salen, längst norrut",Salen -längst norrut
Sangen,Sangen
Selasjön,Selasjön
Siggeforasjön,Siggeforasjön
Skarven,Skarven
Skifsen,Skifsen
Skreia,Skreia
Skärgölen,Skärgölen
Slöingen Kl O,Slöingen E.
South Lake,South lake
Sparkling,Sparkling lake
Spjutsjön,Spjutsjön
St Skärsjön,St Skärsjön
St. Aspen,St. Aspen
St. Lummersjön,St. Lummersjön
Stengårdshultasjön,Stengårdshultasjön
Stensjön,Stensjön
Stockholm D,Stockholm
Stor-Backsjön,Stor-Backsjön
Stor-Laxsjön,Stor-Laxsjön
Stor-Myckelsjön,Stor-Myckelsjön
Stor-Sundsjön,Stor-Sundsjön
Stora Envättern,Stora Envättern
Stora Gryten,Stora Gryten
Stora Ålagylet,Stora Ålagylet
Storasjö,Storasjö
Storhjälmaren Centr.,Storhjälmaren
Storsjön,Storsjön
Strutsholms Kl O,Strutsholms E.
Strängnäsbron,Strängnäsbron
Stäketbron,Stäketbron
Stöpsjön,Stöpsjön
Superior,Lake superior
Svartesjön,Svartesjön
Svartsjön,Svartsjön
Svinarydsjön,Svinarydsjön
Svinnegarnsviken,Svinnegarnsviken
Sännen,Sännen
Sätoftasjön,Sätoftasjön
Södra Marktjärnen,Södra Marktjärnen
Södra Vålsjön,Södra Vålsjön
TABLEY MERE OFF A556 TO NORTHWICH,Tabley mere
TALLINGTON LAKES,Tallington lakes
TARN HOWS,Tarn hows
TATTON MERE,Tatton mere
TATTON MERE WFD POINT AT SJ7554380701,Tatton mere -wfd
TECHILL BK MERE O/F,Techill mere
THIRLMERE (WFD STILLWATER SITE),Thirlmere -stillwater
THIRLMERE - LAKES TOUR,Thirlmere -lakes tour
THOMPSON WATER,Thompson water
