Lake,Lake_formatted
WINAGAMI LAKE - COMPOSITE - (AB07BF0110),Winagami lake
WINDERMERE (WFD STILLWATER SITE),Windermere -stillwater
WINDERMERE NORTH BASIN WFD,Windermere -north basin (wfd)
WINDERMERE SOUTH BASIN,Winderemere -south basin (wfd)
WIZARD LAKE - COMPOSITE - (AB05DF0330),Wizard lake
WIZARD LAKE - EAST BASIN COMPOSITE - (AB05DF0760),Wizard lake -east basin
WIZARD LAKE - WEST BASIN COMPOSITE - (AB05DF0740),Wizard lake -west basin
WROXHAM BROAD YACHT HOUSE PIER (R.BURE),Wroxham broad
Waynewood,Waynewood lake
West Long Lake,West long lake
Whirlpool Lake,Whirlpool lake
Windermere_north,Windermere -north basin
Windermere_south,Windermere -south basin
Wingra,Wingra
Yddingesjön,Yddingesjön
Ymsen,Ymsen
hamilton harbour,Hamilton harbour
kasumigaura,Kasumigaura
taihu,Taihu
winnipeg,Lake winnipeg
Älgarydssjön,Älgarydssjön
Älgsjön,Älgsjön
Ämten,Ämten
Årsjön,Årsjön
"Ö Storsjön, 1,2 km V Stensängsholmen",Storsjön -stensängsholmen
Ö. Särnamannasjön,Särnamannasjön E.
Öjsjön,Öjsjön
Öljaren,Öljaren
Örsjön,Örsjön
Örvattnet,Örvattnet
Örö Kl SO,Örö SE.
Östersjön,Östersjön
Östra Ringsjön,Östra Ringsjön
Överudssjön,Överudssjön
Övre Fjätsjön,Övre Fjätsjön
Övre Hillen,Övre Hillen
Övre Skärsjön,Övre Skärsjön
150B Salen norra delen,Salen norra delen
ALDERFEN BROAD EDGE,Alderfen broad -edge
ALIX LAKE - CENTRE COMPOSITE - (AB05CD1070),Alix lake -centre
Alfhildsgrund V,Alfhildsgrund W.
BOURQUE LAKE - COMPOSITE - (AB06AC0760),Bourque lake
BUFFALO LAKE (NEAR BASHAW) - BASHAW BAY COMPOSITE - (AB05CD1610),Buffalo lake -bashaw bay
CAPT EYRE LAKE - COMPOSITE - (AB05GA0140),Capt eyre lake
CHICKENHILL LAKE - COMPOSITE - (AB06AC0490),Chickenhill lake
CROMES BROAD,Cromes broad
DRAYCOTE WATER NRMP,Draycote water
DRIEDMEAT LAKE - SITE 2 COMPOSITE - (AB05FA0550),Driedmeat lake -site 2
Grönsöfjärden Selaön,Grönsöfjärden Selaön
Gåsen,Gåsen
HALF MOON LAKE - COMPOSITE - (AB05EB1040),Half moon lake
Hönan SV,Hönan SW.
ISLET LAKE - COMPOSITE - (AB05EB1240),Islet lake
Kolsundet O,Kolsundet W.
Kyrkfjärden,Kyrkfjärden
Kållandsö N,Kållandsö N
LAKE ATHABASCA - OFF DELTA COMPOSITE - (AB07MA0040),Lake Athabasca
Levrasjön,Levrasjön
Megrundet V,Megrundet W
Nimmern,Nimmern lake
"NorraVänern, Lunnerviken",NorraVänern -Lunnerviken
Norrviken 3,Norrviken -site 3
RANWORTH BROAD EDGE,Ranworth broad
ROSTHERNE MERE - BANKSIDE @ SJ7423983875,Rostherne mere -bankside
Ridöfjärden,Ridöfjärden
"SILVERWINGS LAKE, WRAYSBURY",Silverwings lake -wraysbury
SMOKE LAKE - COMPOSITE - (AB07GG0010),Smoke lake -composite
SUNBIGGIN TARN,Sunbiggin tarn
Sigtunafjärden,Sigtunafjärden
Stäket,Stäket
Svinstadsjön,Svinstadsjön
Sörfjärden,Sörfjärden
TALKIN TARN (WFD STILLWATER SITE),Talkin tarn
THOMPSON WATER CONTROL 1A,Thompson water -control 1A
THOMPSON WATER CONTROL 2A,Thompson water -control 2A
THOMPSON WATER IMPACT 3,Thompson water -impact 3
UPTON GREAT BROAD EDGE,Upton great broad -edge
WROXHAM BROAD (R.BURE) EDGE,Wroxham broad -edge
Åmänningen,Åmänningen
Alsta sjö,Alsta sjö
BURGHFIELD SAILING CLUB AT BURGHFIELD LA,Burghfeild -sailing club
Kolböcksån Fredsviken,"Kolböcksån, fredsviken"
Kvicksund V,Kvicksund W
Stockholm,Stockholm
Ward Lake,Ward Lake
