lake,lake_lat,lake_long
Mullsjön,58.315,14.232
Mossjön,57.636,15.695
Morskogen,60.474,11.214
MOOSE LAKE - WHOLE LAKE COMPOSITE - (AB06AC0350),54.242,-110.910
MOOSE LAKE - VEZEAU BAY COMPOSITE - (AB06AC0370),54.277,-110.835
MOOSE LAKE - PELICAN NARROWS COMPOSITE - (AB06AC0425),54.273,-110.899
MOOSE LAKE - MAIN BASIN COMPOSITE - (AB06AC0341),54.242,-110.910
MOOSE LAKE - ISLAND BAY COMPOSITE - (AB06AC0415),54.219,-110.968
MOOSE LAKE - FRANCHERE BAY COMPOSITE - (AB06AC0405),54.259,-110.989
MOORE (CRANE) LAKE - COMPOSITE - (AB06AC0550),54.524,-110.496
MOONSHINE LAKE - COMPOSITE - (AB07FD0230),55.883,-119.217
Moon,50.883,-100.050
MONS LAKE (NEAR SMOKY LAKE) - COMPOSITE - (AB05EC0320),54.189,-112.361
MONS LAKE - COMPOSITE - (AB07BE0720),54.581,-113.221
Monona,43.063,-89.361
MNPCA-86-0233-00-202,45.309,-94.043
MNPCA-86-0217-00-202,45.189,-94.104
MNPCA-86-0199-00-201,45.072,-94.066
MNPCA-86-0168-00-201,45.360,-93.956
MNPCA-86-0134-01-206,45.231,-93.967
MNPCA-86-0114-00-203,45.073,-93.977
MNPCA-82-0167-00-234,45.069,-92.974
MNPCA-82-0167-00-231,45.092,-92.990
MNPCA-82-0167-00-230,45.077,-93.007
MNPCA-82-0167-00-229,45.085,-92.981
MNPCA-82-0115-00-101,44.951,-92.981
MNPCA-80-0039-00-204,46.751,-95.099
MNPCA-80-0037-00-204,46.758,-95.066
MNPCA-73-0196-00-209,45.369,-94.622
MNPCA-73-0196-00-203,45.383,-94.596
MNPCA-70-0072-00-202,44.717,-93.444
MNPCA-70-0026-00-101,44.733,-93.418
MNPCA-70-0022-00-203,44.693,-93.391
MNPCA-62-0075-02-202,45.058,-93.134
MNPCA-62-0075-01-202,45.053,-93.137
MNPCA-62-0071-00-201,45.059,-93.165
MNPCA-62-0056-00-212,45.039,-93.124
MNPCA-62-0055-00-201,44.980,-93.141
MNPCA-62-0048-00-201,45.019,-93.144
MNPCA-62-0047-00-201,44.905,-93.149
MNPCA-62-0037-00-202,45.060,-93.041
MNPCA-62-0027-00-203,45.084,-93.080
MNPCA-62-0016-00-201,44.973,-93.005
MNPCA-62-0013-00-201,44.993,-93.056
MNPCA-62-0012-00-201,44.994,-93.063
MNPCA-62-0011-00-201,44.995,-93.036
MNPCA-62-0010-02-401,45.010,-93.061
MNPCA-62-0007-00-203,45.017,-93.072
MNPCA-62-0006-00-202,45.025,-93.058
MNPCA-62-0002-00-210,45.104,-93.018
MNPCA-62-0002-00-207,45.110,-93.014
MNPCA-62-0002-00-202,45.121,-93.019
MNPCA-61-0180-00-201,45.513,-95.667
MNPCA-61-0162-00-201,45.672,-95.531
MNPCA-61-0149-00-201,45.541,-95.522
MNPCA-61-0130-00-205,45.644,-95.413
MNPCA-61-0130-00-201,45.601,-95.519
MNPCA-61-0128-00-202,45.663,-95.514
MNPCA-61-0111-00-204,45.649,-95.450
MNPCA-61-0078-00-201,45.746,-95.402
MNPCA-61-0067-00-204,45.711,-95.291
MNPCA-61-0066-00-203,45.727,-95.286
MNPCA-61-0064-00-205,45.676,-95.293
MNPCA-61-0041-00-203,45.458,-95.347
MNPCA-56-0931-00-201,46.659,-96.081
MNPCA-56-0239-00-201,46.299,-95.633
MNPCA-56-0238-00-206,46.267,-95.645
MNPCA-56-0212-00-201,46.516,-95.592
MNPCA-56-0138-00-205,46.307,-95.544
MNPCA-56-0138-00-204,46.289,-95.557
MNPCA-56-0130-00-207,46.611,-95.495
MNPCA-56-0116-02-202,46.400,-95.429
MNPCA-29-0250-00-201,46.962,-95.110
MNPCA-29-0185-00-207,47.005,-94.962
MNPCA-27-0655-02-201,44.969,-93.284
MNPCA-27-0192-00-402,45.065,-93.740
MNPCA-27-0184-02-201,44.932,-93.716
MNPCA-27-0176-00-202,45.025,-93.645
MNPCA-27-0149-00-202,45.036,-93.622
MNPCA-27-0139-00-201,44.958,-93.632
MNPCA-27-0133-14-204,44.941,-93.650
MNPCA-27-0133-14-110,44.944,-93.635
MNPCA-27-0133-11-101,44.963,-93.603
MNPCA-27-0133-10-101,44.950,-93.593
MNPCA-27-0133-09-201,44.914,-93.690
MNPCA-27-0133-05-203,44.906,-93.664
MNPCA-27-0125-00-101,45.201,-93.505
MNPCA-27-0118-00-404,45.088,-93.467
MNPCA-27-0117-00-402,45.110,-93.501
MNPCA-27-0107-00-201,44.993,-93.471
MNPCA-27-0104-00-208,45.005,-93.415
MNPCA-27-0102-00-201,45.040,-93.433
MNPCA-27-0040-00-201,44.954,-93.309
MNPCA-27-0039-00-202,44.961,-93.320
MNPCA-27-0037-00-102,44.983,-93.323
MNPCA-27-0031-00-204,44.940,-93.310
MNPCA-27-0018-00-201,44.921,-93.236
MNPCA-27-0016-00-201,44.921,-93.306
MNPCA-27-0014-00-201,44.941,-93.256
MNPCA-21-0375-00-308,46.076,-95.764
MNPCA-21-0375-00-307,46.086,-95.770
MNPCA-21-0375-00-306,46.100,-95.741
MNPCA-21-0375-00-304,46.098,-95.702
MNPCA-21-0375-00-302,46.087,-95.686
MNPCA-21-0353-00-301,46.082,-95.732
MNPCA-21-0079-00-203,45.780,-95.369
MNPCA-21-0076-00-203,46.064,-95.303
MNPCA-21-0057-00-205,45.951,-95.363
MNPCA-21-0016-00-202,45.845,-95.252
MNPCA-03-0657-00-201,46.782,-96.173
Kolsnaren,59.054,15.932
"MjÃ¸sa, Kise",60.765,10.789
Kolsundet SO,59.355,17.295
"MjÃ¸sa, BrÃ¸ttum",61.007,10.533
MjÃ¸sa overvåking,60.685,11.025
Kroktjärn,59.894,13.304
MITSUE LAKE - COMPOSITE - (AB07BK0220),55.249,-114.607
MITCHELL LAKE - COMPOSITE - (AB05DB0120),52.217,-115.006
MIQUELON LAKE - COMPOSITE - (AB05EB1120),53.251,-112.904
MINNIE LAKE - COMPOSITE - (AB06AA0380),54.287,-111.103
MINK LAKE - COMPOSITE - (AB07JA0070),56.017,-115.599
MIDDLE CHAIN LAKE (NEAR PONOKA) - COMPOSITE - (AB05CD2170),52.582,-113.440
Mendota,43.099,-89.405
Kvicksundsbron,59.450,16.314
Megrundet N,58.846,12.814
MEDICINE LAKE - COMPOSITE - (AB05CC1515),52.736,-114.737
MCMULLEN LAKE - COMPOSITE - (AB07JA0090),55.841,-114.088
MCLEOD LAKE - WEST COMPOSITE - (AB07AE0410),54.298,-115.643
MCLEOD LAKE - EAST COMPOSITE - (AB07AE0440),54.294,-115.658
MCLELLAND LAKE (L34) - COMPOSITE - (AB07DA2290),57.488,-111.317
MAYATAN LAKE - WHOLE LAKE COMPOSITE - (AB05DE2311),53.486,-114.299
MAYATAN LAKE - WEST BASIN COMPOSITE - (AB05DE2305),53.490,-114.311
MAYATAN LAKE - EAST BASIN COMPOSITE - (AB05DE2320),53.481,-114.298
MAY LAKE - COMPOSITE - (AB06AC0700),54.725,-110.394
MATCHAYAW LAKE - COMPOSITE - (AB05EA0450),53.711,-114.098
MARY GREGG LAKE - COMPOSITE - (AB07AF0430),53.114,-117.455
MARTEN LAKE - COMPOSITE - (AB07BK0180),55.605,-114.578
MARIGOLD LAKE - COMPOSITE - (AB07AH0470),54.673,-115.649
Mariestadsviken M2,58.771,13.869
Mariestadsviken M1,58.713,13.709
Mariestadsviken  M2,58.771,13.869
Mariestadsviken  M1,58.713,13.709
MARIE LAKE - COMPOSITE - (AB06AC0670),54.607,-110.290
MARGARET LAKE - COMPOSITE - (AB07JF0080),58.946,-115.346
MAQUA LAKE - COMPOSITE - (AB07CE0130),56.433,-111.100
MANAWAN LAKE - COMPOSITE - (AB05EA1290),53.906,-113.694
MANATOKAN LAKE - COMPOSITE - (AB06AC0440),54.467,-110.451
Majsjön,57.282,13.357
L. Ullevifjärden N,59.622,17.514
"Möckeln, djuphålan",56.938,15.423
Mäsen,57.239,12.541
MACHESIS LAKE (NEAR LA CRETE) - COMPOSITE - (AB07JF0330),58.324,-116.584
L. Ullevifjärden S,59.596,17.523
Längesjön,57.038,13.006
LYLICH LAKE - COMPOSITE - (AB07JA0050),55.731,-114.581
LUSCAR LAKE - COMPOSITE - (AB07AF1505),53.059,-117.413
Länghalsen Spikön,58.867,16.847
LOWER MANN LAKE - COMPOSITE - (AB06AA0170),54.175,-111.519
LOWER KANANASKIS LAKE - COMPOSITE - (AB05BF0180),50.650,-115.133
LOWER CHAIN LAKE - COMPOSITE - (AB07BE0490),54.967,-113.508
LOWER CHAIN (MAGEE) LAKE NEAR PONOKA - COMPOSITE - (AB05CD2190),52.562,-113.394
Lough Feeagh,53.935,-9.578
"Lonnen, djuphålan",59.383,14.463
LONG LAKE (NEAR PIGEON LAKE) - COMPOSITE - (AB05FA0440),53.056,-113.852
LONG LAKE (NEAR NARROW LAKE) - COMPOSITE - (AB07BC0975),54.582,-113.649
LONG LAKE (NEAR BOYLE) - COMPOSITE - (AB05EC0340),54.431,-112.756
LONG ISLAND LAKE - WHOLE LAKE COMPOSITE - (AB07BC0170),54.465,-113.800
LONG ISLAND LAKE - SOUTH BASIN COMPOSITE - (AB07BC0150),54.437,-113.769
LONG ISLAND LAKE - NORTH BASIN COMPOSITE - (AB07BC0130),54.465,-113.800
LONG ISLAND LAKE - COMPOSITE - (AB07BE0670),54.450,-113.783
Länghalsen Torpfjärden,58.830,16.923
LOFTY LAKE - COMPOSITE - (AB07BE0540),54.725,-112.467
LODGE LAKE - COMPOSITE - (AB07BE0530),54.717,-112.433
Loch_leven,56.200,-3.380
LITTLE FISH LAKE - COMPOSITE - (AB05CG0030),51.367,-112.233
LITTLE BEAVERDAM LAKE - COMPOSITE - (AB05AD0850),49.083,-113.650
LITTLE BEAVER LAKE - COMPOSITE - (AB05FC1070),52.773,-112.982
LINGRELL LAKE (L103) - COMPOSITE - (AB07GC0060),54.728,-119.829
"Länghalsen, Spikön",58.831,16.921
Limmingsjön,59.587,14.523
Limmaren,59.736,18.730
Lillsjön,62.760,15.229
Lill-Jangen,59.990,13.355
Lillesjö,56.206,14.540
Lambarfjärden,59.359,17.795
Lilla Turingen,59.226,17.435
Lilla Nätaren,57.770,14.595
Lien,59.811,15.521
Liasjön,56.446,13.993
Levrasjön,56.104,14.491
LESSER SLAVE LAKE - WEST BASIN COMPOSITE - (AB07BG0030),55.533,-115.890
LESSER SLAVE LAKE - EAST BASIN COMPOSITE - (AB07BJ0040),55.444,-115.020
LESSARD LAKE - COMPOSITE - (AB07BB0985),53.786,-114.654
Lersjön,59.732,14.144
LEPINE LAKE - COMPOSITE - (SA06AF0270),54.478,-109.607
LEGEND LAKE (L25): RAMP BM1 - COMPOSITE - (AB07JE0080),57.412,-112.934
LEE LAKE - COMPOSITE - (AB05AA1071),49.543,-114.253
LEDDY LAKE - COMPOSITE - (AB07FD0190),56.399,-117.460
LAURIER LAKE - COMPOSITE - (AB05ED1260),53.859,-110.509
Lillasjön,56.960,15.398
LAKE NEWELL - GREENWALD BAY COMPOSITE - (AB05BN0290),50.493,-111.923
LAKE NEWELL - COMPOSITE - (AB05BN0270),50.433,-111.917
LAKE MCGREGOR - COMPOSITE - (AB05AC0480),50.543,-112.896
LAKE ATHABASCA - OFF DELTA COMPOSITE - (AB07MA0040),58.683,-110.887
LAKE ATHABASCA - COMPOSITE - MAIN AREA OF LAKE IN ALBERTA - (AB07MD0050),59.050,-110.217
LAKE A LAKE - COMPOSITE - (AB07BE0790),54.800,-113.517
Lagmanshagasjön,57.527,13.617
Lill-Roten,62.631,17.536
"Lönern (pelagialt, djupaste punkten)",57.917,13.612
Långsjön,60.598,16.276
Lången,59.350,15.179
Lärkesholmssjön,56.280,13.390
LACOMBE LAKE - COMPOSITE - (AB05FA2096),52.433,-113.798
Lacawac,41.381,-75.292
LAC STE. ANNE - WHOLE LAKE COMPOSITE - (AB05EA0595),53.710,-114.400
LAC STE. ANNE - WEST SIDE COMPOSITE - (AB05EA0580),53.717,-114.500
LAC STE. ANNE - EAST SIDE COMPOSITE - (AB05EA0570),53.708,-114.400
LAC SANTE - WHOLE LAKE COMPOSITE - (AB05ED0365),53.837,-111.579
LAC SANTE - SOUTHWEST BASIN COMPOSITE - (AB05ED0375),53.837,-111.579
LAC SANTE - NORTHEAST BASIN COMPOSITE - (AB05ED0395),53.867,-111.525
LAC SAINT CYR - WHOLE LAKE COMPOSITE - (AB05ED0260),53.905,-111.190
LAC SAINT CYR - NORTH BASIN COMPOSITE - (AB05ED0255),53.905,-111.190
LAC SAINT CYR - EAST AND WEST BASIN COMPOSITE - (AB05ED0245),53.893,-111.196
LAC LA NONNE - WHOLE LAKE COMPOSITE - (AB07BB0960),53.943,-114.314
LAC LA BICHE - WEST BASIN COMPOSITE - (AB07CA0110),54.880,-112.224
LAC LA BICHE - EAST BASIN COMPOSITE - (AB07CA0200),54.667,-112.033
LAC LA BICHE - COMPOSITE - (AB07CA0210),54.880,-112.224
LAC DES ILES - COMPOSITE - (SA06AF0380),54.433,-109.444
Lindöviken V,60.022,23.194
Logsjön  mitt,59.121,14.835
Lurön NO,58.792,13.255
"Mälaren, Erikssund",59.638,17.620
Möckeln,59.252,14.465
Magsjön,59.723,16.211
L. GRAY LAKE - COMPOSITE - (AB07BD0140),54.842,-113.959
Kyrksjön,59.101,16.980
Kyrkebysjön Grums kommun,59.270,13.101
Mellanfjärden,58.738,17.072
MjÃ¸sa,60.675,11.051
Krankesjön,55.709,13.473
Krageholmssjön,55.496,13.762
"MjÃ¸sa, Furnesfjorden",60.823,10.973
Kolstrandsviken Kristinehamn kommun,59.066,14.140
"MjÃ¸sa, Skreia",60.662,10.973
Nässjön,57.636,15.695
Nedre Milsbosjön,60.436,15.625
Nedre Svartsjön,57.448,15.550
Nordmyrasjön,60.163,16.868
KLAMATHTRIBES_WQX-KL0011,42.561,-121.947
KLAMATHTRIBES_WQX-KL0010,42.524,-121.984
KLAMATHTRIBES_WQX-KL0009,42.436,-122.028
KLAMATHTRIBES_WQX-KL0008,42.441,-121.999
KLAMATHTRIBES_WQX-KL0007,42.407,-121.963
KLAMATHTRIBES_WQX-KL0006,42.422,-121.943
KLAMATHTRIBES_WQX-KL0005,42.369,-121.849
KLAMATHTRIBES_WQX-KL0004,42.327,-121.920
KLAMATHTRIBES_WQX-KL0003,42.308,-121.856
KLAMATHTRIBES_WQX-KL0002,42.242,-121.822
Kisasjön,58.009,15.650
KINOSIU LAKE - COMPOSITE - (AB06AA1180),54.734,-112.323
Kingsmere,54.087,-106.449
KIMIWAN LAKE - COMPOSITE - (AB07HA0396),55.721,-116.908
"Kilsviken, syd",59.067,14.090
KIEVERS LAKE - COMPOSITE - (AB05CE0740),51.689,-113.558
KEHIWIN LAKE - COMPOSITE - (AB06AC0301),54.065,-110.900
KEARL LAKE (L35): RAMP NE11 - COMPOSITE - (AB07DA2210),57.292,-111.233
"Kattfjorden, väster",59.334,13.336
"Kattfjorden, söder",59.312,13.412
"Kattfjorden, öster",59.326,13.418
Kasumigaura,36.041,140.403
kasumigaura,36.051,140.378
KAMASKIKOWIK LAKE - COMPOSITE - (AB07JB0030),56.158,-113.528
KAKUT LAKE - COMPOSITE - (AB07GH0170),55.630,-118.529
"Kårebolsjön, djuphålan",60.404,13.410
Kållen,57.167,15.394
Kärrafjärden,58.850,14.983
Källsjön,61.634,16.736
Norra Baksjön,59.768,12.883
Jungfrun NV,58.501,14.678
JUMPING DEER LAKE - COMPOSITE - (AB07BE0650),54.717,-112.433
JOSEPH LAKE (NEAR NEW SAREPTA) - COMPOSITE - (AB05EB1330),53.279,-113.079
JOSEPH LAKE (NEAR COLINTON) - COMPOSITE - (AB07BE0380),54.581,-113.221
JOHNSON LAKE (L38) - COMPOSITE - (AB07DD0410),57.656,-110.395
JESSIE LAKE - COMPOSITE - (AB06AC0770),54.259,-110.745
JENNETTS STREAM AT JENNETTS RES SURFACE,51.000,-4.220
JENKINS LAKE - COMPOSITE - (AB07BE0410),54.933,-113.600
JEAN LAKE (L26) - COMPOSITE - (AB07JE0060),57.493,-113.773
JARVIS LAKE - COMPOSITE - (AB07AC0100),53.483,-117.800
Jällunden,57.042,13.490
JACKPINE LAKE (L91) - COMPOSITE - (AB07HB0090),56.912,-116.566
JACKFISH LAKE (NEAR CARVEL) - COMPOSITE - (AB05DE0670),53.479,-114.256
JACKFISH LAKE - COMPOSITE - (AB07BE0630),54.817,-113.100
"Ivösjön, öster om Bäckaskog",56.092,14.372
Ivösjön,56.108,14.438
ISLET LAKE - COMPOSITE - (AB05EB1240),53.456,-112.826
ISLE LAKE - COMPOSITE - (AB05EA0460),53.633,-114.733
ISLAND LAKE NORTH (CROWSNEST PASS) - COMPOSITE - (AB05AA0025),49.630,-114.685
ISLAND LAKE - COMPOSITE - (AB07BE0860),54.833,-113.517
ISLAND LAKE - COMPOSITE - (AB05EC1095),54.336,-112.428
IOSEGUN LAKE - COMPOSITE - (AB07GG0030),54.467,-116.833
Immeln,56.268,14.335
HUTCH LAKE - COMPOSITE - (AB07OB0050),58.761,-117.337
Rädsjön,60.820,14.318
Huron,43.090,-82.392
Humsjön,58.621,14.476
Roxen S,58.458,15.620
HUBBLES LAKE - COMPOSITE - (AB05EA0640),53.566,-114.089
HOTTE LAKE - COMPOSITE - (AB07OB0090),58.957,-116.125
Horsfjärden,58.149,15.910
Horsan,57.869,18.841
HOPE LAKE - COMPOSITE - (AB07BE0550),54.650,-112.667
Holmeshultasjön,57.222,14.816
Södra Marktjärnen,60.306,13.329
Hjärtsjön,57.051,15.257
Hinnasjön,56.878,14.929
Hindsen,57.213,14.132
HILDA LAKE - COMPOSITE - (AB06AC0580),54.530,-110.421
Hestrasjön,57.958,15.086
Södra Välsjön,60.513,13.882
"Salen, längst norrut",56.892,14.558
Havgårdssjön,55.488,13.357
HAUNTED LAKE (NEAR ALIX) - COMPOSITE - (AB05CD1660),52.404,-113.159
HATCHET POND,50.812,-1.479
HASTINGS LAKE - COMPOSITE - (AB05EB1220),53.425,-112.900
"Hasselasjön, profundal",62.069,16.814
HASSE LAKE - COMPOSITE - (AB05DE0790),53.491,-114.167
HARWOOD LAKE (L67) - COMPOSITE - (AB07DD0610),58.065,-110.374
HARDISTY LAKE - COMPOSITE - (AB05FB0090),52.668,-111.323
Harasjön,57.007,13.579
HANNINGFIELD RESERVOIR,51.666,0.505
HANMORE LAKE - COMPOSITE - (AB05EC0797),54.300,-112.533
Hamnarydssjön,57.686,14.846
"Hammarsjön, mellan udden och Kvinneholmen",55.982,14.215
Hammarösjön Hammarö/Karlstad kommun,59.371,13.613
hamilton harbour,43.297,-79.799
HALF MOON LAKE - COMPOSITE - (AB05EB1040),53.461,-113.091
Halen,56.269,14.506
HAIG LAKE - COMPOSITE - (AB07HB0060),56.894,-116.108
Selasjön,62.820,17.618
Haggen,60.096,15.227
Hagasjön,56.499,14.449
Hökesjön,57.640,15.758
Hären,57.311,13.701
Hällsjön,60.063,15.173
Häckebergasjön,55.582,13.427
Skifsen,60.076,14.412
Gyslättasjön,57.108,14.448
Stäketbron,57.905,16.415
GULL LAKE - COMPOSITE - (AB05CC0600),52.533,-113.983
GRIST LAKE - COMPOSITE - (AB07CE0200),55.380,-110.474
Grissjön,58.763,15.145
GREGOIRE LAKE - COMPOSITE - (AB07CE0120),56.444,-111.097
GREGG LAKE - COMPOSITE - (AB07AC0020),53.533,-117.800
Green_valley,40.056,-105.617
GRASSHOLME RES - OUTFLOW NORTH (WFD),54.601,-2.085
Grasmere,54.449,-3.020
Gransjön,60.320,14.004
Granfj. Djurgårds Udde,59.494,16.811
GRAND CACHE LAKE - COMPOSITE - (AB07GA0030),53.900,-119.050
GRAFHAM WATER RESERVOIR,52.290,-0.286
Stöpsjön,58.964,17.228
Gosjön,61.086,16.943
GOOSEBERRY LAKE - WEST BASIN COMPOSITE - (AB05GA0200),52.113,-110.758
GOOSEBERRY LAKE - EAST BASIN COMPOSITE - (AB05GA0180),52.119,-110.733
GOOSE LAKE - COMPOSITE - (AB07AH0490),54.318,-115.114
GOODWIN LAKE - COMPOSITE - (AB07CA0060),55.420,-111.656
GOODRIDGE LAKE - COMPOSITE - (AB07BC0090),54.431,-114.248
GOODFISH LAKE - COMPOSITE - (AB06AA0322),54.282,-111.820
GOD'S LAKE - COMPOSITE - (AB07JB0150),56.818,-114.287
GOD'S (ARMSTRONG) LAKE - COMPOSITE - (AB07BE0470),54.383,-113.633
Glimmingen,58.000,15.570
Glan,58.200,15.959
"Glafsfjorden, Sulviken",59.670,12.430
"Glafsfjorden, Kyrkviken",59.637,12.575
"Glafsfjorden, Centrala",59.548,12.672
Gipsjön,60.645,13.626
Giles,41.376,-75.093
GHOST LAKE - COMPOSITE - (AB07BE0420),54.883,-113.600
Stockholm D,59.303,18.077
GERRY LAKE - COMPOSITE - (AB07FD0270),56.301,-118.270
Georgian_bay,45.528,-81.670
GEORGE LAKE - COMPOSITE - (AB07FD1410),56.223,-118.551
Garnsviken,59.514,18.262
GARNIER LAKE (NORTH) - COMPOSITE - (AB06AC1190),54.021,-110.582
GARNIER LAKE (BLUET) - COMPOSITE - (AB06AC1240),53.987,-110.563
GARNER LAKE - COMPOSITE - (AB06AA0290),54.203,-111.725
GARDINER LAKE NORTH (L20) - COMPOSITE - (AB07DA2030),57.540,-112.494
GAMMATON RESERVOIR (SURFACE),51.007,-4.163
Galten,59.453,16.151
Görväln S,59.419,17.740
Stora Gryten,58.877,16.081
Fysingen,59.571,17.908
Furnesfjorden,60.819,10.980
Storhjälmaren Centr.,59.215,15.735
Stor-Laxsjön,62.754,17.207
FROG LAKE - COMPOSITE - (AB05ED0161),53.892,-110.342
"FRENSHAM GREAT POND, BEACH (11945)",51.157,-0.792
FREEMAN LAKE - COMPOSITE - (AB07AH0510),54.695,-115.531
FRANK LAKE - COMPOSITE - (AB05AC0360),50.569,-113.707
FRANK LAKE - BASIN 2 (SOUTH) COMPOSITE - (AB05AC1115),50.550,-113.708
FRANK LAKE - BASIN 1 (NORTH) COMPOSITE - (AB05AC1110),50.569,-113.707
FRANCIS LAKE - COMPOSITE - (AB07BE0710),54.700,-113.783
Framsjön,60.158,13.749
FORTY MILE COULEE - COMPOSITE - (AB05AH0080),49.550,-111.200
FORK LAKE - COMPOSITE - (AB06AA1050),54.489,-111.586
FOLEY LAKE - COMPOSITE - (AB07BD0120),54.626,-114.791
FLYINGSHOT LAKE - COMPOSITE - (AB07GE1060),55.142,-118.862
FLORENCE LAKE - COMPOSITE - (AB07MD0090),59.288,-110.394
FLOATINGSTONE LAKE - COMPOSITE - (AB06AA0310),54.234,-111.636
FLETCHER LAKE (L109): RAMP S2 - COMPOSITE - (AB07NA0120),59.118,-110.820
FLEMING LAKE (E52): RAMP CM1 - COMPOSITE - (AB07JF0020),58.766,-115.433
Flaten,57.352,13.912
Flåren,57.030,14.097
Fjärasjö,57.609,15.249
Fjällfotasjön,55.521,13.302
Fjällen,56.949,13.451
FISHING LAKE - COMPOSITE - (AB05ED1510),53.918,-110.188
Fish,43.287,-89.652
Fiolen,57.092,14.530
"Finjasjön, djupaste del",56.149,13.688
FIGURE EIGHT LAKE - COMPOSITE - (AB07HA0300),56.301,-117.903
FIELD LAKE - WHOLE LAKE COMPOSITE - (AB06AA0220),54.717,-111.967
FIELD LAKE - SITE #3 - SOUTH END VERTICAL COMPOSITE AT ONE SITE - (AB06AA0210),54.719,-111.975
FIELD LAKE - SITE #2 - CENTRE VERTICAL COMPOSITE AT ONE SITE - (AB06AA0200),54.729,-111.989
FIELD LAKE - SITE #1 - NORTH END VERTICAL COMPOSITE AT ONE SITE - (AB06AA0190),54.733,-112.000
FICKLE LAKE - COMPOSITE - (AB07AF0440),53.451,-116.779
"Fegen V (pelagialt, djupaste punkten)",57.231,13.142
FAWCETT LAKE - COMPOSITE - (AB07BK0280),55.309,-114.024
Stor-Myckelsjön,62.586,17.227
FAIRFAX LAKE - COMPOSITE - (AB07BA0180),52.970,-116.575
Fagertärn,58.762,14.701
Stor-Sundsjön,62.980,15.144
Försjön,57.676,15.100
Fåglasjön,59.708,18.636
Strängnäsbron,59.384,17.019
ETHEL LAKE (SWAN HILLS) - COMPOSITE - (AB07BK0140),54.780,-115.054
ETHEL LAKE (NEAR COLD LAKE) - COMPOSITE - (AB06AC0620),54.530,-110.354
Esthwaite,54.362,-2.986
"Täkern, Glänäs",58.338,14.815
Erie_MERIS,42.200,-81.200
Erie_GLENDA,42.200,-81.200
Erie_cruise,42.791,-79.208
EMERSON LAKE - COMPOSITE - (AB07AD0590),53.724,-117.123
Ellestadssjön,55.530,13.732
ELKWATER LAKE - COMPOSITE - (AB05AH0060),49.668,-110.289
ELINOR LAKE - COMPOSITE - (AB06AA1220),54.679,-111.658
ELBOW LAKE - COMPOSITE - (AB05BJ0460),50.636,-115.017
Ekoln Vreta Udd,59.758,17.594
Tronntjärnarna,62.980,13.033
Ekholmssjön,59.866,17.045
Edeskvarnaån NV,57.907,14.229
EDEN LAKE - COMPOSITE - (AB05EA0310),53.578,-114.158
Edasjön,59.806,17.904
Eckern,57.289,16.356
EAST OSLAND  L99 - COMPOSITE - (AB07OC0050),57.266,-119.469
East Long Lake,46.240,-89.500
EAGLENEST LAKE (L24) - COMPOSITE - (AB07KF0270),57.783,-112.133
EAGLE LAKE - COMPOSITE - (AB05BM0760),51.000,-113.317
Uggenäsdypen,60.680,12.648
DUGGAN'S LAKE - COMPOSITE - (AB07BE0580),54.217,-113.450
DUCK LAKE - COMPOSITE - (AB07BE0690),54.650,-113.933
DRIEDMEAT LAKE - SITE 2 COMPOSITE - (AB05FA0550),52.892,-112.788
DRIEDMEAT LAKE - COMPOSITE - (AB05FA0596),52.872,-112.756
DONALDSON LAKE (L85) - COMPOSITE - (AB07HE0030),57.685,-116.233
DOLLY LAKE - COMPOSITE - (AB06AF0040),54.581,-110.231
Djupa Holmsjön,59.179,17.023
DILLBERRY LAKE - COMPOSITE - (AB05GA0160),52.575,-110.004
Derwentwater,54.575,-3.146
DECHAINE LAKE - WHOLE LAKE COMPOSITE - (AB05EA1850),53.844,-114.103
DEADWOOD LAKE - COMPOSITE - (AB07HC0130),56.715,-117.591
Dagstorpssjön,55.993,13.484
Dagskärsgrund N,58.766,13.517
"Daglösen, Norra delen",59.694,14.184
"Daglösen, djuphåla",59.658,14.204
Dagarn,59.897,15.687
CUTBANK LAKE - COMPOSITE - (AB07GE0280),55.264,-119.124
Crystal bog,46.008,-89.606
Crystal,46.003,-89.612
CROWSNEST LAKE - COMPOSITE - (AB05AA1061),49.629,-114.650
CROW INDIAN LAKE - COMPOSITE - (AB05AF0100),49.367,-111.800
CRIMSON LAKE - COMPOSITE - (AB05DC0130),52.461,-115.044
CRANBERRY LAKE - COMPOSITE - (AB07JA0010),56.236,-115.064
COW LAKE - COMPOSITE - (AB05DC0090),52.258,-115.011
COW GREEN RESERVOIR,54.656,-2.291
CORN LAKE - COMPOSITE - (AB07JB0070),56.642,-113.974
COOKING LAKE - COMPOSITE - (AB05EB1150),53.419,-113.058
Constance untersee/Rhein river,47.652,8.895
COLIN LAKE - COMPOSITE - (AB07MD0150),59.598,-110.122
COLD LAKE - WEST SIDE EUPHOTIC COMP - (AB06AF0120),54.532,-110.124
COLD LAKE - MAIN BASIN COMPOSITE - (AB06AF0155),54.566,-110.008
COLD LAKE - ENGLISH BAY COMPOSITE - (AB06AF0170),54.547,-110.219
COEOMAHA_WQX-BBDLK0987A,44.039,-99.449
COAL LAKE - COMPOSITE - (AB05FA0400),53.056,-113.253
CLEAR LAKE (BARNS LAKE) - COMPOSITE - (AB05FD0050),52.767,-110.607
