lake,lake_lat,lake_long
UNNAMED LAKE L68 - COMPOSITE - (AB07KF0140),57.837,-112.461
UNNAMED LAKE L59 - COMPOSITE - (AB07KD0140),57.595,-112.779
UNNAMED LAKE L50 - COMPOSITE - (AB07KD0120),57.673,-112.808
UNNAMED LAKE L27 - COMPOSITE - (AB07KD0060),57.597,-113.306
UNNAMED LAKE L100 - COMPOSITE - (AB07OC0070),57.266,-119.636
UNNAMED LAKE (R1): RAMP S3 - COMPOSITE - (AB07NA0330),59.199,-110.687
UNNAMED LAKE (PREVIOUSLY 15 MILE LAKE) - COMPOSITE - (AB07DA2090),56.894,-110.903
UNNAMED LAKE (P98): RAMP WF7 - COMPOSITE - (AB07CC0420),56.783,-111.789
UNNAMED LAKE (P97): RAMP WF6 - COMPOSITE - (AB07DA3210),56.810,-111.721
UNNAMED LAKE (P96): RAMP WF5 - COMPOSITE - (AB07DA3190),56.800,-111.917
UNNAMED LAKE (P94): RAMP WF4 - COMPOSITE - (AB07DA3170),57.146,-111.982
UNNAMED LAKE (P7): RAMP NE8 - COMPOSITE - (AB07DC0560),57.232,-110.745
UNNAMED LAKE (P49): RAMP BM11 - COMPOSITE - (AB07DA3110),57.694,-111.906
UNNAMED LAKE (P27): RAMP NE7 - COMPOSITE - (AB07DC0540),57.147,-110.863
UNNAMED LAKE (P23): RAMP NE6 - COMPOSITE - (AB07DA3130),57.269,-110.904
UNNAMED LAKE (P13): RAMP BM10 - COMPOSITE - (AB07DA3090),57.314,-112.395
UNNAMED LAKE (O-2/E67): RAMP CM4 - COMPOSITE - (AB07PA0280),59.310,-115.330
UNNAMED LAKE (O-10): RAMP S5 - COMPOSITE - (AB07NA0310),59.124,-110.687
UNNAMED LAKE (O-1/E55):RAMP CM5 - COMPOSITE - (AB07PC0080),59.238,-114.525
UNNAMED LAKE (N. OF WYLIE LAKE) - COMPOSITE - (AB07MD0130),59.433,-110.306
UNNAMED LAKE (L98) - COMPOSITE - (AB07HF0120),57.613,-117.974
UNNAMED LAKE (L97) - COMPOSITE - (AB07HF0100),57.655,-117.890
UNNAMED LAKE (L96) - COMPOSITE - (AB07JF0110),58.205,-116.904
UNNAMED LAKE (L92) - COMPOSITE - (AB07HC0180),56.914,-116.952
UNNAMED LAKE (L90) - COMPOSITE - (AB07HC0160),56.971,-116.700
UNNAMED LAKE (L9) - COMPOSITE - (AB07DC0400),57.185,-110.451
UNNAMED LAKE (L89) - COMPOSITE - (AB07HE0110),57.381,-116.904
UNNAMED LAKE (L88) - COMPOSITE - (AB07HE0090),57.218,-116.952
UNNAMED LAKE (L86) - COMPOSITE - (AB07HE0050),57.556,-116.233
UNNAMED LAKE (L84) - COMPOSITE - (AB07HF0080),58.203,-116.443
UNNAMED LAKE (L80) - COMPOSITE - (AB07PA0260),59.660,-116.320
UNNAMED LAKE (L8): RAMP NE3 - COMPOSITE - (AB07DC0430),57.046,-110.598
UNNAMED LAKE (L79) - COMPOSITE - (AB07PA0240),59.714,-116.368
UNNAMED LAKE (L76) - COMPOSITE - (AB07PA0220),59.944,-116.542
UNNAMED LAKE (L75) - COMPOSITE - (AB07PA0200),59.660,-115.978
UNNAMED LAKE (L74) - COMPOSITE - (AB07PA0180),59.615,-115.618
UNNAMED LAKE (L7): RAMP NE2 - COMPOSITE - (AB07DC0460),57.090,-110.752
UNNAMED LAKE (L60): RAMP BM3 - COMPOSITE - (AB07KD0160),57.654,-112.618
UNNAMED LAKE (L6) - COMPOSITE - (AB07DA1990),57.074,-110.829
UNNAMED LAKE (L58) - COMPOSITE - (AB07JE0030),57.475,-113.117
UNNAMED LAKE (L57) - COMPOSITE - (AB07JE0050),57.441,-113.233
UNNAMED LAKE (L56) - COMPOSITE - (AB07DB0280),57.202,-113.063
UNNAMED LAKE (L55) - COMPOSITE - (AB07DB0260),57.183,-112.663
UNNAMED LAKE (L51) - COMPOSITE - (AB07DB0210),57.183,-112.663
UNNAMED LAKE (L5) - COMPOSITE - (AB07DA2000),57.043,-110.882
UNNAMED LAKE (L49): RAMP BM5 - COMPOSITE - (AB07KD0100),57.760,-112.597
UNNAMED LAKE (L48) - COMPOSITE - (AB07DA2370),57.705,-112.188
UNNAMED LAKE (L47): RAMP BM4 - COMPOSITE - (AB07KD0010),57.689,-112.736
UNNAMED LAKE (L45) - COMPOSITE - (AB07DD0560),57.842,-111.135
UNNAMED LAKE (L44) - COMPOSITE - (AB07DD0540),57.916,-111.092
UNNAMED LAKE (L43) - COMPOSITE - (AB07DD0520),57.918,-111.005
UNNAMED LAKE (L42) - COMPOSITE - (AB07DD0500),57.985,-110.980
UNNAMED LAKE (L40) - COMPOSITE - (AB07DD0460),57.943,-110.673
UNNAMED LAKE (L4): RAMP NE1 - COMPOSITE - (AB07DC0200),57.152,-110.851
UNNAMED LAKE (L39/E9/A150): RAMP NE4 - COMPOSITE - (AB07DD0430),57.958,-110.383
UNNAMED LAKE (L33) - COMPOSITE - (AB07DA2270),57.425,-112.246
UNNAMED LAKE (L28): RAMP BM6 - COMPOSITE - (AB07KD0030),57.856,-112.972
UNNAMED LAKE (L21) - COMPOSITE - (AB07DA2230),57.608,-112.500
UNNAMED LAKE (L15) - COMPOSITE - (AB07DC0280),57.133,-110.200
UNNAMED LAKE (L14) - THICKWOOD HILLS COMPOSITE - (AB07DC0170),57.261,-110.201
UNNAMED LAKE (L13) - COMPOSITE - (AB07DC0310),57.274,-110.242
UNNAMED LAKE (L11) - COMPOSITE - (AB07DC0370),57.404,-110.281
UNNAMED LAKE (L102) - COMPOSITE - (AB07FC0040),57.117,-119.886
UNNAMED LAKE (L10) - COMPOSITE - (AB07DC0230),57.466,-110.437
UNNAMED LAKE (E15): RAMP NE5 - COMPOSITE - (AB07DA3050),56.892,-110.900
UNNAMED LAKE (A86): RAMP SM7 - COMPOSITE - (AB07CE0640),55.681,-111.827
UNNAMED LAKE (A59): RAMP WF3 - COMPOSITE - (AB07CB1010),55.911,-112.864
UNNAMED LAKE (A47): RAMP WF2 - COMPOSITE - (AB07JB0400),56.245,-113.141
UNNAMED LAKE (A42): RAMP WF1 - COMPOSITE - (AB07JB0370),56.351,-113.184
UNNAMED LAKE (A301): RAMP S4 - COMPOSITE - (AB07MD0410),59.171,-110.560
UNNAMED LAKE (A300) - COMPOSITE - (AB07CB1030),56.196,-113.158
UNNAMED LAKE (A29): RAMP SM5 - COMPOSITE - (AB07CE0660),56.168,-111.545
UNNAMED LAKE (A26): RAMP SM6 - COMPOSITE - (AB07CE0680),56.223,-111.169
UNNAMED LAKE (A24): RAMP SM9 - COMPOSITE - (AB07CE0700),56.223,-111.252
UNNAMED LAKE (A21): RAMP SM10 - COMPOSITE - (AB07CE0720),56.261,-111.261
UNNAMED LAKE (94): RAMP SM1 - COMPOSITE - (AB07CE0840),55.758,-110.750
UNNAMED LAKE (82): RAMP SM2 - COMPOSITE - (AB07CE0820),55.792,-111.825
UNNAMED LAKE (6): RAMP NE10 - COMPOSITE - (AB07CD0260),56.642,-110.200
UNNAMED LAKE (4): RAMP NE9 - COMPOSITE - (AB07DA3150),56.767,-110.900
UNNAMED LAKE (28): RAMP SM4 - COMPOSITE - (AB07CE0800),56.151,-111.232
UNNAMED LAKE (27): RAMP SM3 - COMPOSITE - (AB07CE0780),56.200,-111.367
UNNAMED LAKE (25): RAMP SM8 - COMPOSITE - (AB07CE0760),56.208,-111.200
UNNAMED LAKE (1): RAMP WF8 - THICKWOOD HILLS COMPOSITE - (AB07DB0180),56.769,-111.948
UNNAMED LAKE - NORTH OF COWPER L.COMPOSITE - (AB07CE0220),55.953,-110.388
UNNAMED LAKE - L108 (S. OF WOODMAN LAKE) - COMPOSITE - (AB07NA0180),59.486,-110.482
UNNAMED LAKE - INTO COTTONWOOD CRCL. COMPOSITE - (AB07CE0160),56.179,-111.104
UNNAMED LAKE - COMPOSITE - (AB07PC0030),59.480,-115.162
UNNAMED LAKE - COMPOSITE - (AB07PC0010),59.408,-114.759
UNNAMED LAKE - COMPOSITE - (AB07PA0050),59.311,-115.351
UNNAMED LAKE - COMPOSITE - (AB07PA0030),59.486,-115.527
UNNAMED LAKE - COMPOSITE - (AB07PA0010),59.249,-116.028
UNNAMED LAKE - COMPOSITE - (AB07OB0110),59.054,-116.248
UNNAMED LAKE - COMPOSITE - (AB07NB0070),59.761,-110.777
UNNAMED LAKE - COMPOSITE - (AB07NA0160),59.460,-110.824
UNNAMED LAKE - COMPOSITE - (AB07KB0030),59.239,-114.524
UNNAMED LAKE - COMPOSITE - (AB07KB0010),59.261,-114.352
UNNAMED LAKE - COMPOSITE - (AB07JA0110),56.239,-114.389
UNNAMED LAKE - COMPOSITE - (AB07HC0090),56.658,-119.293
UNNAMED LAKE - COMPOSITE - (AB07HB0040),56.768,-116.633
UNNAMED LAKE - COMPOSITE - (AB07HA0280),56.194,-116.842
