,lake,tsi,trophic_status,lake_lat,lake_long
99,Barton broad E.,68.11863065,eutrophic,52.745,1.497
100,Barton broad inflow,60.81951481,eutrophic,52.75,1.498
101,Barton broad outflow,67.93922465,eutrophic,52.736,1.499
102,Betley mere inlet,66.44891555,eutrophic,53.029,-2.378
103,Blagdon lake,59.00923698,eutrophic,51.34,-2.711
104,Belham tarn -england,54.34905737,eutrophic,54.398,-2.975
105,Bowyers water,56.32154581,eutrophic,51.693,-0.025
106,Buck lake,61.76379168,eutrophic,52.983,-114.767
107,Buffalo lake main,53.83789191,eutrophic,52.483,-112.867
108,Bassenthwaite,54.89159678,eutrophic,54.653,-3.25
109,Belhalm tarn,57.71408305,eutrophic,54.396,-2.977
110,Björkesåkrasjön,58.60585111,eutrophic,55.529,13.404
111,Björsund,57.51222271,eutrophic,59.469,16.698
112,Blacken lake,52.60604885,eutrophic,59.474,16.544
113,Calling lake,59.55354806,eutrophic,55.25,-113.333
114,Carr,59.43659142,eutrophic,52.814,-1.441
115,Castle water,56.84814828,eutrophic,50.93,0.739
116,Chapel mere,63.78030057,eutrophic,53.062,-2.688
117,Coal lake,67.5863233,eutrophic,53.056,-113.253
118,Cockshoot broad,61.98504528,eutrophic,52.686,1.468
119,Cole mere,65.66024292,eutrophic,52.895,-2.851
120,Colliford lake,66.13321733,eutrophic,50.51,-4.573
121,Comber mere,62.48685476,eutrophic,52.995,-2.601
122,Crag lough,52.7403367,eutrophic,55.006,-2.362
123,Cromes broad,62.12689682,eutrophic,52.722,1.514
124,Cromes broad,62.12689682,eutrophic,52.723,1.514
125,Crose mere S.,64.11957149,eutrophic,52.871,-2.848
126,Central long lake,56.15345677,eutrophic,45.613,-79.009
127,Crystal bog,66.68300691,eutrophic,46.008,-89.606
128,Driedmeat lake -site 2,68.59062076,eutrophic,52.892,-112.788
129,Eagle lake,65.28497465,eutrophic,51,-113.317
130,Elterwater -inner basin,59.42339288,eutrophic,54.429,-3.035
131,Elterwater -middle basin,53.08592719,eutrophic,54.429,-3.03
132,Esthwaite water -lakes tour,53.75285615,eutrophic,54.363,-2.988
133,Ethel Lake -cold lake,50.54059637,eutrophic,54.53,-110.354
134,East long lake,60.27541829,eutrophic,46.24,-89.5
135,Ekoln Vreta Udd,54.69847104,eutrophic,59.758,17.594
136,Ekoln special,54.96139979,eutrophic,59.787,17.616
137,Esthwaite water,60.25868843,eutrophic,54.362,-2.986
138,Figure eight lake,66.25455548,eutrophic,56.301,-117.903
139,Filby broad,61.99618434,eutrophic,52.662,1.638
140,Fonthill lake -outlet,63.27968818,eutrophic,51.079,-2.09
141,Fork lake,60.10192113,eutrophic,54.489,-111.586
142,Fritton lake -country park,69.49944535,eutrophic,52.542,1.653
143,Fritton lakes -lound mill,69.69412361,eutrophic,52.547,1.689
144,Fish lake,54.20553398,eutrophic,43.287,-89.652
145,Funbosjön,64.65128251,eutrophic,59.86,17.86
146,Goose lake,63.33211047,eutrophic,54.318,-115.114
147,Grasmere -stillwater,50.69666481,eutrophic,54.449,-3.019
148,Great lake,69.71061149,eutrophic,53.25,-1.135
149,Great puckstone lake,63.51141217,eutrophic,51.305,1.17
150,Greatstone lake,63.85530432,eutrophic,50.958,0.958
151,Greenlee lough,51.66496273,eutrophic,55.019,-2.366
152,Gregoire lake,51.47211201,eutrophic,56.444,-111.097
153,Galten,60.29448583,eutrophic,59.453,16.151
154,Galten W.,61.36104635,eutrophic,59.469,16.088
155,Garnsviken,50.18134794,eutrophic,59.514,18.262
