lake,lat_group,climate_zone
Oppmannasjön -arkelstorpsviken,50-60,7
Pakowki lake -central,40-50,8
Pakowki lake W.,40-50,8
Pigeon lake,50-60,7
Pine lake,50-60,8
Pine lake -middle,50-60,8
Pine lake -north,50-60,8
Pine lake -south,50-60,8
Primrose lake -north basin,50-60,7
Paul Lake,40-50,7
Peter Lake,40-50,7
Prästfjärden,50-60,7
Ranworth broad,50-60,10
Ranworth broad,50-60,10
Red tarn -stillwater,50-60,7
Rockford lake,50-60,10
Rockland broad,50-60,10
Rollesby broad,50-60,10
Rostherne mere,50-60,10
Rostherne mere -outlet,50-60,10
Rothay,50-60,10
Rutland water -hambleton south,50-60,10
Rutland water -tower,50-60,10
Rutland water -north buoy,50-60,10
Rutland water -south buoy,50-60,10
Ridöfjärden,50-60,7
Roxen -centrala delen,50-60,7
Roxen S.,50-60,7
Barken S.,60-70,7
Björkfjärden SE.,50-60,7
Sandy lake -north basin,50-60,7
Sandy lake -south basin,50-60,7
Saskatoon lake,50-60,7
Semer water,50-60,10
Shearwater lake outflow,50-60,10
Sherborne lake,50-60,10
Shorncliffe lake,50-60,8
Silverwings lake -wraysbury,50-60,10
Skeleton lake -south basin,50-60,7
Skelsmergh tarn,50-60,10
Slapton ley,50-60,10
Smoke lake -composite,50-60,7
Snails lake,50-60,10
South walsham broad,50-60,10
South walsham broad -edge,50-60,10
Stanborough sailing lake,50-60,10
Steele (cross) lake,50-60,7
Stewartby lake,50-60,10
Sturgeon lake -main basin,50-60,7
Sturgeon lake -west arm,50-60,7
Sunbiggin tarn,50-60,7
Salen,50-60,7
Salen -längst norrut,50-60,7
Sigtunafjärden,50-60,7
Skarven,50-60,7
Skifsen,60-70,7
South lake,50-60,7
Sparkling lake,40-50,7
St Skärsjön,50-60,7
St. Aspen,50-60,7
Stengårdshultasjön,50-60,7
Stensjön,50-60,7
Stockholm,50-60,7
Stora ÃƒÂ…lagylet,50-60,7
Storhjälmaren,50-60,7
Storsjön,60-70,7
Strängnäsbron,50-60,7
Stäket,50-60,7
Stäketbron,50-60,7
Svinnegarnsviken,50-60,7
Sätoftasjön,50-60,7
Tabley mere,50-60,10
Talkin tarn,50-60,7
Tallington lakes,50-60,10
Tatton mere -wfd,50-60,10
Techill mere,50-60,10
Thirlmere -stillwater,50-60,10
Thompson water,50-60,10
Thompson water -control 1B,50-60,10
Thompson water -control 2A,50-60,10
Thompson water -control 2B,50-60,10
Thompson water -control 3,50-60,10
Thompson water -impact 1,50-60,10
Thompson water -impact 2,50-60,10
Thompson water -impact 3,50-60,10
Fleet lake,50-60,10
Thrapston lake,50-60,10
Thunder lake,50-60,7
Tindale tarn,50-60,7
Tucker lake,50-60,7
Turnershill marsh,50-60,10
Turnford marsh lake,50-60,10
Third Narrows,,
Trehörningen,50-60,7
Trout lake,40-50,7
Trout bog,40-50,7
Tryssjön,60-70,7
Tuesday lake,40-50,7
Tåkern -glänås,50-60,7
Ullswater -south buoy,50-60,7
Ullswater -wfd,50-60,7
Upton great broad,50-60,10
Upton little broad,50-60,10
USGS-491528094470601,40-50,8
USGS-492142094421501,40-50,8
Ulvhällsfjärden,50-60,7
Vincent lake,50-60,7
Virginia water,50-60,10
Västeråsfjärden N.,50-60,7
Västra Ringsjön,50-60,7
Wabamun lake -east basin,50-60,7
Wabamun lake -main basin,50-60,7
Wabamun lake -west basin,50-60,7
Wastwater -stillwater,50-60,10
Westbere lakes,50-60,10
Westbere lakes point 1,50-60,10
White mere,50-60,10
Winagami lake,50-60,7
Windermere -stillwater,50-60,10
Windermere -north basin (wfd),50-60,10
Winderemere -south basin (wfd),50-60,10
Wroxham broad,50-60,10
Waynewood lake,40-50,7
West long lake,40-50,7
Whirlpool lake,50-60,7
Windermere -north basin,50-60,10
Windermere -south basin,50-60,10
Wingra,40-50,8
Ymsen,50-60,7
Hamilton harbour,40-50,8
Kasumigaura,30-40,11
Taihu,30-40,11
Lake winnipeg,50-60,8
Älgsjön,50-60,7
Öljaren,50-60,7
Östra Ringsjön,50-60,7
Övre Skärsjön,50-60,7
