lake,tsi,trophic_status
Galten W.,61.36104635,eutrophic
Garnsviken,50.18134794,eutrophic
Geten,55.7174121,eutrophic
Glan,51.55815415,eutrophic
Granfj. Djurgårds Udde,53.3941796,eutrophic
Grasmere,52.77241068,eutrophic
Grönsöfjärden Selaön,51.92334633,eutrophic
Gyslättasjön,52.18130023,eutrophic
Görväln S.,51.39610567,eutrophic
Hatch mere,67.00406391,eutrophic
Heigham sound,68.05042641,eutrophic
Hickling broad,69.09778888,eutrophic
Horsey mere,63.93346039,eutrophic
Hoveton great broad,68.98381028,eutrophic
Hoveton great broad -edge,69.33503118,eutrophic
Hoveton little broad,65.0234639,eutrophic
Hudson's bay E.,68.18878328,eutrophic
Havgårdssjön,57.72877248,eutrophic
Hjulstabron W.,51.6313597,eutrophic
Häckebergasjön,69.11154143,eutrophic
Iosegun lake,63.69099151,eutrophic
Isle lake,66.31671518,eutrophic
Jackfish lake,54.97212423,eutrophic
Kolsundet W.,53.14345816,eutrophic
Krageholmssjön,66.0041482,eutrophic
Kvicksundsbron,55.75399654,eutrophic
Kyrkfjärden,52.31147404,eutrophic
Kållen,60.26108307,eutrophic
Ullevifjärden S.,54.12569924,eutrophic
Lac la biche E.,63.756429,eutrophic
Lac saint cyr -whole lake,51.7948253,eutrophic
Lac ste. Anne E.,66.75966307,eutrophic
Lac ste. Anne W.,67.62205419,eutrophic
Burghfield lake,54.66407295,eutrophic
Sonning eye lake,50.52835108,eutrophic
Lake McGregor,52.01002868,eutrophic
Lake newell,54.28105451,eutrophic
Little fish lake,68.90745307,eutrophic
Littlesea lake,61.66994306,eutrophic
Long lake -boyle,61.36657759,eutrophic
Loweswater -wq survey,50.38061567,eutrophic
Loweswater,52.67871647,eutrophic
Lillsjön,58.45955179,eutrophic
Loch leven,66.65556441,eutrophic
Martham south broad,59.81622632,eutrophic
Matchayaw lake,62.67979847,eutrophic
May lake,53.83540743,eutrophic
Mcleod lake E.,54.10926117,eutrophic
Mere ellesmere,61.4329716,eutrophic
Mere mere,64.77320121,eutrophic
Mere mere -edge,60.05110368,eutrophic
Mockbeggar lake,65.44810145,eutrophic
Moonshine lake,59.80939005,eutrophic
Moose lake -vezeau bay,59.69059287,eutrophic
Moose lake -whole lake,60.05331657,eutrophic
Murston angling lake,66.97223972,eutrophic
Lake mendota,54.51344062,eutrophic
lake monona,55.08390464,eutrophic
Moon lake,65.70149548,eutrophic
Nakamun lake,66.30721825,eutrophic
Nook lake,61.20942436,eutrophic
North buck lake,54.63025505,eutrophic
Nordmyrasjön,58.55597536,eutrophic
NorraVänern -ölmeviken,51.06775229,eutrophic
Nässjön,53.29010477,eutrophic
Oak mere,66.16212114,eutrophic
Oak mere -intersection,66.30535115,eutrophic
Ormesby broad,62.15939412,eutrophic
Ormesby little broad,63.94044553,eutrophic
Octopus lake,62.4192692,eutrophic
Oppmannasjön,57.61145877,eutrophic
Oppmannasjön -arkelstorpsviken,67.93686878,eutrophic
Pakowki lake W.,69.24483649,eutrophic
Pigeon lake,58.9480567,eutrophic
Pine lake,59.61318351,eutrophic
Pine lake -middle,61.9425825,eutrophic
Pine lake -north,61.28397028,eutrophic
Pine lake -south,61.99364075,eutrophic
Primrose lake -north basin,61.45319063,eutrophic
Peter Lake,53.15246391,eutrophic
Rockford lake,52.93999207,eutrophic
Rockland broad,55.20320456,eutrophic
Rollesby broad,62.43096576,eutrophic
Rostherne mere,64.97233236,eutrophic
