,date,year,month,day,day_of_year,num_samples,depth,chla,secchi,tp,doc,ph,tkn,no2,no3,nh4,dic,temp,par,poc,srp,tdn,tn,lake
45666,1964-04-27,1964,4,27,118,51,,4.21,,,,,,,410.0,,,7.85,,,,,,Windermere -north basin
6687,1964-04-27,1964,4,27,118,46,,6.0,,,,,,,430.0,,,10.4,,,,,,Belhalm tarn
47526,1964-04-27,1964,4,27,118,51,,10.44,,,,,,,320.0,,,7.95,,,,,,Windermere -south basin
45667,1964-05-04,1964,5,4,125,51,,6.62,,,,,,,400.0,,,7.6,,,,,,Windermere -north basin
47527,1964-05-04,1964,5,4,125,51,,10.19,,,,,,,290.0,,,8.3,,,,,,Windermere -south basin
6688,1964-05-04,1964,5,4,125,46,,4.7,,,,,,,440.0,,,9.1,,,,,,Belhalm tarn
15922,1964-05-04,1964,5,4,125,46,,10.08,,,,,,,350.0,,,9.4,,,,,,Esthwaite water
47528,1964-05-11,1964,5,11,132,51,,7.09,,,,,,,310.0,,,8.8,,,,,,Windermere -south basin
6689,1964-05-11,1964,5,11,132,46,,4.5,,,,,,,370.0,,,10.0,,,,,,Belhalm tarn
45668,1964-05-11,1964,5,11,132,51,,5.86,,,,,,,310.0,,,8.8,,,,,,Windermere -north basin
15923,1964-05-11,1964,5,11,132,46,,8.38,,,,,,,330.0,,,10.2,,,,,,Esthwaite water
15924,1964-05-18,1964,5,18,139,46,,6.9,,,,,,,370.0,,,13.3,,,,,,Esthwaite water
6690,1964-05-18,1964,5,18,139,46,,8.1,,,,,,,410.0,,,13.1,,,,,,Belhalm tarn
45669,1964-05-18,1964,5,18,139,51,,7.59,,,,,,,300.0,,,11.35,,,,,,Windermere -north basin
47529,1964-05-18,1964,5,18,139,51,,9.0,,,,,,,270.0,,,11.3,,,,,,Windermere -south basin
15925,1964-05-25,1964,5,25,146,46,,4.11,,,,,,,290.0,,,14.5,,,,,,Esthwaite water
6691,1964-05-25,1964,5,25,146,46,,8.9,,,,,,,290.0,,,14.9,,,,,,Belhalm tarn
45670,1964-05-25,1964,5,25,146,51,,9.42,,,,,,,260.0,,,12.7,,,,,,Windermere -north basin
47530,1964-05-25,1964,5,25,146,51,,9.36,,,,,,,240.0,,,12.5,,,,,,Windermere -south basin
15926,1964-06-01,1964,6,1,153,46,,6.68,,,,,,,300.0,,,15.2,,,,,,Esthwaite water
6692,1964-06-01,1964,6,1,153,46,,6.6,,,,,,,250.0,,,15.6,,,,,,Belhalm tarn
45671,1964-06-01,1964,6,1,153,51,,8.02,,,,,,,250.0,,,13.95,,,,,,Windermere -north basin
47531,1964-06-01,1964,6,1,153,51,,6.14,,,,,,,250.0,,,12.7,,,,,,Windermere -south basin
6693,1964-06-08,1964,6,8,160,46,,5.7,,,,,,,390.0,,,14.6,,,,,,Belhalm tarn
47532,1964-06-08,1964,6,8,160,51,,3.29,,,,,,,210.0,,,13.95,,,,,,Windermere -south basin
15927,1964-06-08,1964,6,8,160,46,,8.25,,,,,,,290.0,,,14.3,,,,,,Esthwaite water
45672,1964-06-08,1964,6,8,160,51,,3.63,,,,,,,370.0,,,13.55,,,,,,Windermere -north basin
47533,1964-06-15,1964,6,15,167,51,,3.19,,,,,,,190.0,,,14.3,,,,,,Windermere -south basin
