,date,year,month,day,day_of_year,num_samples,depth,chla,secchi,tp,doc,ph,tkn,no2,no3,nh4,dic,temp,par,poc,srp,tdn,tn,lake
22078,1992-03-30,1992,3,30,90,7,0.5,7.1,,,,,,,,,,,,,,,,Görväln S.
36391,1992-03-30,1992,3,30,90,7,0.5,3.3,,,,,,,,,,,,,,,,Skarven
35228,1992-03-30,1992,3,30,90,7,0.5,8.3,,,,,,,,,,,,,,,,Björkfjärden SE.
19679,1992-03-31,1992,3,31,91,7,0.5,11.9,,,,,,,,,,,,,,,,Galten
9383,1992-03-31,1992,3,31,91,7,0.5,4.3,,,,,,,,,,,,,,,,Blacken lake
50807,1992-04-01,1992,4,1,92,12,,9.695,,0.029,,,,,,,,,,,,,2.45,Taihu
33511,1992-04-02,1992,4,2,93,7,0.5,9.1,,,,,,,,,,,,,,,,Prästfjärden
29076,1992-04-02,1992,4,2,93,7,0.5,9.1,,,,,,,,,,,,,,,,Mälaren -erikssund
38742,1992-04-02,1992,4,2,93,7,0.5,22.3,,,,,,,,,,,,,,,,Svinnegarnsviken
26259,1992-04-05,1992,4,5,96,35,,36.8,0.75,50.95,,,,,,,,9.9,,,2.8,,,Loch leven
51692,1992-04-06,1992,4,6,97,19,0.5,9.14,,,,,,,,,,,,,,,,Östra Ringsjön
43859,1992-04-06,1992,4,6,97,19,0.5,12.57,,,,,,,,,,,,,,,,Västra Ringsjön
38975,1992-04-06,1992,4,6,97,18,0.5,14.32,,,,,,,,,,,,,,,,Sätoftasjön
17188,1992-04-07,1992,4,7,98,26,,15.0,3.8,18.62,,7.34,,,949.0,5.0,,5.9,,,,,,Esthwaite water
21009,1992-04-07,1992,4,7,98,25,,14.0,3.75,24.0,,,,,459.0,5.0,,7.0,,,,,,Grasmere
48822,1992-04-07,1992,4,7,98,26,,9.56,3.5,30.02,,7.28,,,662.0,5.0,,6.6,,,,,,Windermere -south basin
46963,1992-04-07,1992,4,7,98,26,,3.94,5.0,14.06,,6.98,,,592.0,5.0,,6.3,,,,,,Windermere -north basin
7931,1992-04-07,1992,4,7,98,25,,21.9,2.1,23.9,,,,,1051.0,5.0,,6.0,,,,,,Belhalm tarn
19938,1992-04-09,1992,4,9,100,15,,0.785,10.5,9.965,,,,,,28.7,,,21.8049,,39.23343187,,,Giles lake
45362,1992-04-10,1992,4,10,101,16,,2.866666667,3.7,24.782,,,,,,73.5,,,13.31229167,,7.7434405,,,Waynewood lake
25624,1992-04-10,1992,4,10,101,17,,5.761666667,5.2,12.3125,,,,,,50.12,,,13.25388571,,1.70355691,,,Lacawac
26260,1992-04-11,1992,4,11,102,35,,20.85,2.1,55.2,,,,,,,,5.25,,,,,,Loch leven
13890,1992-04-13,1992,4,13,104,24,,6.7,6.0,12.9,,6.8,,,251.0,5.0,,6.9,,,,,,Derwentwater
6153,1992-04-13,1992,4,13,104,23,,16.1,3.5,21.7,,7.12,,,378.0,5.0,,6.8,,,,,,Bassenthwaite
43860,1992-04-14,1992,4,14,105,19,0.5,10.22,,,,,,,,,,,,,,,,Västra Ringsjön
23814,1992-04-14,1992,4,14,105,12,0.5,8.9,,,,,,,,,,,,,,,,Hjulstabron W.
26261,1992-04-14,1992,4,14,105,35,,20.7,,53.7,,,,,,,,7.9,,,8.5,,,Loch leven
38511,1992-04-14,1992,4,14,105,12,0.5,5.3,,,,,,,,,,,,,,,,Stäketbron
38976,1992-04-14,1992,4,14,105,18,0.5,10.65,,,,,,,,,,,,,,,,Sätoftasjön
30810,1992-04-14,1992,4,14,105,32,,5.94,1.97,28.7,,,,,,,,2.56,,,3.2,,,Oneida lake
51693,1992-04-14,1992,4,14,105,19,0.5,5.89,,,,,,,,,,,,,,,,Östra Ringsjön
49747,1992-04-14,1992,4,14,105,6,1.0,5.956521739,,0.05914,,,,,,,,,,,,,,Hamilton harbour
38263,1992-04-14,1992,4,14,105,12,0.5,12.9,,,,,,,,,,,,,,,,Strängnäsbron
24547,1992-04-14,1992,4,14,105,12,1.75,12.25,,,,,,,,,,,,,,,,Kvicksundsbron
30811,1992-04-20,1992,4,20,111,32,,6.78,1.74,23.7,,,,,,,,3.58,,,1.6,,,Oneida lake
17189,1992-04-21,1992,4,21,112,26,,22.85,3.7,22.8,,7.23,,,842.0,5.0,,8.0,,,,,,Esthwaite water
48823,1992-04-21,1992,4,21,112,26,,9.43,3.6,26.98,,7.32,,,558.0,5.0,,7.8,,,,,,Windermere -south basin
46964,1992-04-21,1992,4,21,112,26,,5.05,4.5,13.68,,7.23,,,529.0,5.0,,7.2,,,,,,Windermere -north basin
7932,1992-04-21,1992,4,21,112,25,,31.7,1.9,23.2,,,,,887.0,5.0,,9.0,,,,,,Belhalm tarn
21010,1992-04-21,1992,4,21,112,25,,26.0,2.5,25.0,,,,,352.0,5.0,,8.8,,,,,,Grasmere
26262,1992-04-22,1992,4,22,113,35,,34.8,,53.75,,,,,,,,8.5,,,6.85,,,Loch leven
21653,1992-04-23,1992,4,23,114,7,0.5,3.9,,,,,,,,,,,,,,,,Grönskogssjön
23906,1992-04-23,1992,4,23,114,7,0.5,2.9,,,,,,,,,,,,,,,,Hulingen
30812,1992-04-28,1992,4,28,119,32,,9.58,1.93,18.5,,,,,,,,6.39,,,0.7,,,Oneida lake
13891,1992-04-28,1992,4,28,119,24,,8.8,4.5,10.6,,6.8,,,219.0,5.0,,8.2,,,,,,Derwentwater
6154,1992-04-28,1992,4,28,119,23,,25.4,2.2,25.1,,7.24,,,343.0,5.0,,8.6,,,,,,Bassenthwaite
38977,1992-04-29,1992,4,29,120,18,0.5,12.86,,,,,,,,,,,,,,,,Sätoftasjön
43861,1992-04-29,1992,4,29,120,19,0.5,11.43,,,,,,,,,,,,,,,,Västra Ringsjön
51694,1992-04-29,1992,4,29,120,19,0.5,0.31,,,,,,,,,,,,,,,,Östra Ringsjön
50808,1992-05-01,1992,5,1,122,12,,9.83,,0.029,,,,,,,,,,,,,2.84,Taihu
13221,1992-05-04,1992,5,4,125,17,1.0,22.3,,,,,,,,,,,,,,,,Crystal bog
41647,1992-05-04,1992,5,4,125,17,1.666666667,16.06666667,,,,,,,,,,,,,,,,Trout bog
30813,1992-05-04,1992,5,4,125,32,,5.35,2.18,16.0,,,,,,,,8.12,,,2.1,,,Oneida lake
21011,1992-05-05,1992,5,5,126,25,,25.0,2.5,21.0,,,,,286.0,7.0,,10.2,,,,,,Grasmere
48824,1992-05-05,1992,5,5,126,26,,13.84,3.5,28.88,,7.42,,,582.0,5.0,,9.6,,,,,,Windermere -south basin
3277,1992-05-05,1992,5,5,126,16,1.0,20.0,,,,,,,,,,,,,,,,Allequash lake
17190,1992-05-05,1992,5,5,126,26,,20.2,2.8,22.04,,7.36,,,827.0,7.0,,9.6,,,,,,Esthwaite water
46965,1992-05-05,1992,5,5,126,26,,14.38,3.6,13.3,,7.29,,,483.0,5.0,,8.5,,,,,,Windermere -north basin
8635,1992-05-05,1992,5,5,126,17,1.5,4.9,,,,,,,,,,,,,,,,Big Muskellunge lake
7933,1992-05-05,1992,5,5,126,25,,2.0,4.0,22.4,,,,,884.0,29.0,,9.8,,,,,,Belhalm tarn
12562,1992-05-06,1992,5,6,127,17,1.5,1.85,,,,,,,,,,,,,,,,Crystal lake
3995,1992-05-06,1992,5,6,127,7,,31.3,1.5,0.077,16.2,8.3,1.06,0.005,,0.012,,,,,,,,Baptiste lake S.
50654,1992-05-06,1992,5,6,127,7,2.1,61.0,,,,,,,,,,,,4.2,,,,Kasumigaura
18767,1992-05-06,1992,5,6,127,13,,9.2,4.2,0.044,,8.31,,0.001,,,,,,,,,,Goose lake
3860,1992-05-06,1992,5,6,127,7,,8.2,1.8,0.048,15.8,8.29,0.88,0.002,,0.007,,,,,,,,Baptiste lake N.
15131,1992-05-07,1992,5,7,128,7,,17.3,2.2,0.029,11.1,8.55,0.69,0.003,,0.007,,,,,,,,Ethel Lake -cold lake
35600,1992-05-07,1992,5,7,128,14,,14.0,1.5,0.064,,9.29,,0.001,,,,,,,,,,Shorncliffe lake
13892,1992-05-11,1992,5,11,132,24,,7.0,5.6,8.4,,6.9,,,179.0,5.0,,8.9,,,,,,Derwentwater
15550,1992-05-11,1992,5,11,132,7,0.5,2.5,,,,,,,,,,,,,,,,Ekoln Vreta Udd
41005,1992-05-11,1992,5,11,132,17,1.5,6.0,,,,,,,,,,,,,,,,Trout lake
1399,1992-05-11,1992,5,11,132,15,,1.83,,5.0,5.88,,,,,,,,183.2341753,,,,,Experimental lake 239
6155,1992-05-11,1992,5,11,132,23,,18.0,3.0,24.7,,7.2,,,282.0,5.0,,9.7,,,,,,Bassenthwaite
30814,1992-05-11,1992,5,11,132,32,,3.56,3.32,14.1,,,,,,,,10.43,,,0.5,,,Oneida lake
35229,1992-05-12,1992,5,12,133,7,0.5,3.9,,,,,,,,,,,,,,,,Björkfjärden SE.
22079,1992-05-12,1992,5,12,133,7,0.5,7.2,,,,,,,,,,,,,,,,Görväln S.
32282,1992-05-12,1992,5,12,133,18,,1.5,3.8,0.088,18.7,8.44,1.74,0.007,,0.24,,,,,,,,Pine lake -south
45363,1992-05-12,1992,5,12,133,16,,6.29,3.8,,,,,,,,,,14.11293846,,,,,Waynewood lake
38512,1992-05-12,1992,5,12,133,12,0.5,16.1,,,,,,,,,,,,,,,,Stäketbron
32067,1992-05-12,1992,5,12,133,18,,0.3,3.3,0.072,18.6,8.46,1.65,0.007,,0.23,,,,,,,,Pine lake -middle
19939,1992-05-12,1992,5,12,133,15,,1.215,11.5,,,,,,,,,,20.33253478,,,,,Giles lake
28249,1992-05-12,1992,5,12,133,6,0.5,6.4,,,,,,,,,,,,,,,,Mariestadsviken  -site 2
1400,1992-05-12,1992,5,12,133,15,,2.27,5.7,,5.94,,,,,,,,128.7746359,,,,,Experimental lake 239
32175,1992-05-12,1992,5,12,133,18,,9.7,2.4,0.086,18.7,8.47,1.58,0.008,,0.148,,,,,,,,Pine lake -north
36392,1992-05-12,1992,5,12,133,7,0.5,11.8,,,,,,,,,,,,,,,,Skarven
43221,1992-05-12,1992,5,12,133,7,0.5,11.4,,,,,,,,,,,,,,,,Ulvhällsfjärden
23815,1992-05-13,1992,5,13,134,12,0.5,21.8,,,,,,,,,,,,,,,,Hjulstabron W.
24548,1992-05-13,1992,5,13,134,12,1.75,12.35,,,,,,,,,,,,,,,,Kvicksundsbron
29077,1992-05-13,1992,5,13,134,7,0.5,5.0,,,,,,,,,,,,,,,,Mälaren -erikssund
9384,1992-05-13,1992,5,13,134,7,0.5,20.0,,,,,,,,,,,,,,,,Blacken lake
38743,1992-05-13,1992,5,13,134,7,0.5,32.6,,,,,,,,,,,,,,,,Svinnegarnsviken
38264,1992-05-13,1992,5,13,134,12,0.5,15.3,,,,,,,,,,,,,,,,Strängnäsbron
20269,1992-05-13,1992,5,13,134,7,0.5,20.2,,,,,,,,,,,,,,,,Granfj. Djurgårds Udde
25625,1992-05-13,1992,5,13,134,17,,1.5,5.3,,,,,,,,,,13.59200769,,,,,Lacawac
43628,1992-05-13,1992,5,13,134,7,0.5,34.4,,,,,,,,,,,,,,,,Västeråsfjärden N.
19680,1992-05-13,1992,5,13,134,7,0.5,19.2,,,,,,,,,,,,,,,,Galten
33512,1992-05-13,1992,5,13,134,7,0.5,5.0,,,,,,,,,,,,,,,,Prästfjärden
35601,1992-05-14,1992,5,14,135,14,,12.5,1.5,0.066,,,,,,,,,,,,,,Shorncliffe lake
719,1992-05-14,1992,5,14,135,13,,2.51,,,2.88,,,,,,,,,,,,,Experimental lake 224
38978,1992-05-14,1992,5,14,135,18,0.5,9.09,,,,,,,,,,,,,,,,Sätoftasjön
26263,1992-05-14,1992,5,14,135,35,,45.9,,62.2,,,,,,,,12.6,,,6.5,,,Loch leven
51695,1992-05-14,1992,5,14,135,19,0.5,4.68,,,,,,,,,,,,,,,,Östra Ringsjön
38037,1992-05-14,1992,5,14,135,7,0.5,7.8,,,,,,,,,,,,,,,,Storhjälmaren
43862,1992-05-14,1992,5,14,135,19,0.5,6.67,,,,,,,,,,,,,,,,Västra Ringsjön
30815,1992-05-18,1992,5,18,139,32,,4.34,2.84,16.0,,,,,,,,12.79,,,0.9,,,Oneida lake
3278,1992-05-18,1992,5,18,139,16,1.0,6.65,,,,,,,,,,,,,,,,Allequash lake
15246,1992-05-18,1992,5,18,139,17,0.941666667,12.9615,,,,,,,,,0.291,,,,,,,East long lake
12563,1992-05-18,1992,5,18,139,17,1.5,1.6,,,,,,,,,,,,,,,,Crystal lake
21012,1992-05-18,1992,5,18,139,25,,6.0,4.5,14.0,,,,,220.0,5.0,,15.7,,,,,,Grasmere
7934,1992-05-19,1992,5,19,140,25,,6.2,3.9,25.8,,,,,880.0,60.0,,16.5,,,,,,Belhalm tarn
41006,1992-05-19,1992,5,19,140,17,1.5,6.85,,,,,,,,,,,,,,,,Trout lake
46966,1992-05-19,1992,5,19,140,26,,8.34,3.5,11.4,,7.42,,,422.0,5.0,,14.4,,,,,,Windermere -north basin
17191,1992-05-19,1992,5,19,140,26,,17.66,3.0,22.8,,7.87,,,735.0,5.0,,15.1,,,,,,Esthwaite water
48825,1992-05-19,1992,5,19,140,26,,8.18,3.8,21.28,,7.53,,,527.0,5.0,,14.1,,,,,,Windermere -south basin
45427,1992-05-19,1992,5,19,140,17,1.38,10.9762,,,,,,,,,0.327,,,,,,,West long lake
36849,1992-05-19,1992,5,19,140,16,1.5,5.05,,,,,,,,,,,,,,,,Sparkling lake
33003,1992-05-20,1992,5,20,141,17,0.933333333,6.304666667,,,,,,,,,1.527333333,,,,,,,Peter Lake
8636,1992-05-20,1992,5,20,141,17,1.5,1.95,,,,,,,,,,,,,,,,Big Muskellunge lake
41648,1992-05-20,1992,5,20,141,17,1.666666667,24.63333333,,,,,,,,,,,,,,,,Trout bog
32516,1992-05-21,1992,5,21,142,17,0.766666667,3.246,,,,,,,,,1.008,,,,,,,Paul Lake
13222,1992-05-21,1992,5,21,142,17,1.0,33.2,,,,,,,,,,,,,,,,Crystal bog
29344,1992-05-21,1992,5,21,142,6,0.5,0.9,,,,,,,,,,,,,,,,NorraVänern -ölmeviken
720,1992-05-21,1992,5,21,142,13,,1.62,5.4,4.0,2.7,,,,,,,,,,,,,Experimental lake 224
11580,1992-05-22,1992,5,22,143,17,1.036,5.2706,,,,,,,,,,,,,,,,Central long lake
18768,1992-05-24,1992,5,24,145,13,,3.3,5.0,0.037,,8.19,,0.001,,,,,,,,,,Goose lake
6156,1992-05-25,1992,5,25,146,23,,12.6,3.6,22.4,,7.21,,,265.0,5.0,,16.9,,,,,,Bassenthwaite
23907,1992-05-25,1992,5,25,146,7,0.5,18.5,,,,,,,,,,,,,,,,Hulingen
32068,1992-05-25,1992,5,25,146,18,,2.9,3.5,0.078,,,1.63,,,0.25,,,,,,,,Pine lake -middle
15247,1992-05-25,1992,5,25,146,17,0.965,11.7465,,,,,,,,,0.225,,,,,,,East long lake
32176,1992-05-25,1992,5,25,146,18,,3.9,3.3,0.082,,,1.57,,,0.195,,,,,,,,Pine lake -north
13893,1992-05-25,1992,5,25,146,24,,5.7,4.8,21.3,,7.1,,,130.0,18.0,,16.9,,,,,,Derwentwater
32283,1992-05-25,1992,5,25,146,18,,1.9,4.2,0.088,,,1.61,,,0.34,,,,,,,,Pine lake -south
30816,1992-05-26,1992,5,26,147,32,,1.34,4.16,11.8,,,,,,,,14.12,,,1.4,,,Oneida lake
45428,1992-05-26,1992,5,26,147,17,1.0875,6.14725,,,,,,,,,0.299,,,,,,,West long lake
44266,1992-05-26,1992,5,26,147,6,,4.8,3.0,0.029,10.8,8.43,0.82,,,0.011,,,,,,,,Wabamun lake -main basin
29165,1992-05-26,1992,5,26,147,6,,4.4,3.2,0.043,17.6,8.2,1.44,,,0.027,,,,,,,,Nakamun lake
21654,1992-05-26,1992,5,26,147,7,0.5,12.4,,,,,,,,,,,,,,,,Grönskogssjön
40282,1992-05-27,1992,5,27,148,10,,9.0,1.5,0.069,28.5,8.76,1.95,0.003,,0.058,,,,,,,,Thunder lake
33004,1992-05-27,1992,5,27,148,17,0.916666667,4.714,,,,,,,,,1.321333333,,,,,,,Peter Lake
35602,1992-05-27,1992,5,27,148,14,,7.1,2.0,0.06,,9.23,,,,,,,,,,,,Shorncliffe lake
32517,1992-05-28,1992,5,28,149,17,0.95,2.95,,,,,,,,,0.750666667,,,,,,,Paul Lake
43863,1992-05-29,1992,5,29,150,19,0.5,11.0,,,,,,,,,,,,,,,,Västra Ringsjön
51696,1992-05-29,1992,5,29,150,19,0.5,4.0,,,,,,,,,,,,,,,,Östra Ringsjön
11581,1992-05-29,1992,5,29,150,17,1.19,2.1698,,,,,,,,,,,,,,,,Central long lake
38979,1992-05-29,1992,5,29,150,18,0.5,9.2,,,,,,,,,,,,,,,,Sätoftasjön
3279,1992-06-01,1992,6,1,153,16,1.0,4.05,,,,,,,,,,,,,,,,Allequash lake
19940,1992-06-01,1992,6,1,153,15,,0.698333333,14.6,,,,,,,,,,21.38231304,,,,,Giles lake
1401,1992-06-01,1992,6,1,153,15,,1.555,5.0,3.5,6.06,,,,,,,17.3,155.7851142,,,,,Experimental lake 239
30817,1992-06-01,1992,6,1,153,32,,1.97,3.15,20.5,,,,,,,,13.94,,,2.7,,,Oneida lake
35603,1992-06-01,1992,6,1,153,14,,2.7,2.0,0.046,,,,,,,,,,,,,,Shorncliffe lake
721,1992-06-01,1992,6,1,153,13,,1.025,5.0,4.0,2.76,,,,,,,,155.7851142,,,,,Experimental lake 224
15248,1992-06-01,1992,6,1,153,17,1.016666667,8.394666667,,,,,,,,,0.190166667,,,,,,,East long lake
50809,1992-06-01,1992,6,1,153,12,,6.825,,0.033,,,,,,,,,,,,,1.84,Taihu
41649,1992-06-01,1992,6,1,153,17,1.666666667,97.33333333,,,,,,,,,,,,,,,,Trout bog
21013,1992-06-01,1992,6,1,153,25,,2.0,5.7,20.0,,,,,177.0,32.0,,18.3,,,,,,Grasmere
7935,1992-06-02,1992,6,2,154,25,,3.5,3.8,30.4,,,,,716.0,55.0,,17.8,,,,,,Belhalm tarn
36850,1992-06-02,1992,6,2,154,16,1.5,1.5,,,,,,,,,,,,,,,,Sparkling lake
46967,1992-06-02,1992,6,2,154,26,,3.21,5.5,7.98,,7.12,,,407.0,11.0,,16.4,,,,,,Windermere -north basin
17192,1992-06-02,1992,6,2,154,26,,38.06,1.4,25.46,,9.03,,,475.0,14.0,,17.2,,,,,,Esthwaite water
12564,1992-06-02,1992,6,2,154,17,1.5,1.45,,,,,,,,,,,,,,,,Crystal lake
48826,1992-06-02,1992,6,2,154,26,,13.15,4.0,19.76,,8.01,,,386.0,5.0,,16.8,,,,,,Windermere -south basin
45364,1992-06-02,1992,6,2,154,16,,3.15,4.5,,,,,,,,,,10.78365385,,,,,Waynewood lake
45429,1992-06-02,1992,6,2,154,17,1.18,2.4805,,,,,,,,,0.313,,,,,,,West long lake
8637,1992-06-03,1992,6,3,155,17,1.5,1.5,,,,,,,,,,,,,,,,Big Muskellunge lake
33005,1992-06-03,1992,6,3,155,17,1.0,4.843333333,,,,,,,,,1.395666667,,,,,,,Peter Lake
25626,1992-06-03,1992,6,3,155,17,,1.554,7.0,,,,,,,,,,12.75653077,,,,,Lacawac
41007,1992-06-03,1992,6,3,155,17,1.5,1.35,,,,,,,,,,,,,,,,Trout lake
1857,1992-06-03,1992,6,3,155,9,,1.96,3.5,,7.2,,,,,,,,143.920715,,,,,Experimental lake 442
13223,1992-06-04,1992,6,4,156,17,1.0,44.73333333,,,,,,,,,,,,,,,,Crystal bog
32518,1992-06-04,1992,6,4,156,17,0.9,3.262333333,,,,,,,,,0.905,,,,,,,Paul Lake
15132,1992-06-04,1992,6,4,156,7,,6.0,3.2,0.024,10.5,8.4,0.69,,,0.017,,,,,,,,Ethel Lake -cold lake
11582,1992-06-05,1992,6,5,157,17,1.2,2.532,,,,,,,,,,,,,,,,Central long lake
32284,1992-06-08,1992,6,8,160,18,,3.2,4.1,0.081,18.1,8.6,1.46,0.009,,0.198,,,,,,,,Pine lake -south
32177,1992-06-08,1992,6,8,160,18,,4.4,2.6,0.047,17.4,8.62,1.28,0.008,,0.134,,,,,,,,Pine lake -north
13894,1992-06-08,1992,6,8,160,24,,8.7,3.2,9.5,,7.2,,,96.0,7.0,,17.4,,,,,,Derwentwater
18769,1992-06-08,1992,6,8,160,13,,3.2,5.0,0.03,,8.2,,0.001,,,,,,,,,,Goose lake
35604,1992-06-08,1992,6,8,160,14,,2.0,2.0,0.063,,9.16,,0.001,,,,,,,,,,Shorncliffe lake
6157,1992-06-08,1992,6,8,160,23,,28.0,2.4,24.7,,7.38,,,266.0,5.0,,17.5,,,,,,Bassenthwaite
32069,1992-06-08,1992,6,8,160,18,,2.7,3.5,0.065,17.9,8.53,1.45,0.009,,0.178,,,,,,,,Pine lake -middle
15249,1992-06-08,1992,6,8,160,17,1.058333333,7.678166667,,,,,,,,,0.294333333,,,,,,,East long lake
30818,1992-06-09,1992,6,9,161,32,,1.68,3.99,19.8,,,,,,,,17.02,,,4.4,,,Oneida lake
15551,1992-06-09,1992,6,9,161,7,0.5,36.6,,,,,,,,,,,,,,,,Ekoln Vreta Udd
45430,1992-06-09,1992,6,9,161,17,1.15,2.89775,,,,,,,,,0.35275,,,,,,,West long lake
43222,1992-06-10,1992,6,10,162,7,0.5,9.4,,,,,,,,,,,,,,,,Ulvhällsfjärden
35230,1992-06-10,1992,6,10,162,7,0.5,4.0,,,,,,,,,,,,,,,,Björkfjärden SE.
43629,1992-06-10,1992,6,10,162,7,0.5,20.3,,,,,,,,,,,,,,,,Västeråsfjärden N.
22080,1992-06-10,1992,6,10,162,7,0.5,8.8,,,,,,,,,,,,,,,,Görväln S.
38980,1992-06-10,1992,6,10,162,18,0.5,16.36,,,,,,,,,,,,,,,,Sätoftasjön
33006,1992-06-10,1992,6,10,162,17,0.95,3.883,,,,,,,,,1.501333333,,,,,,,Peter Lake
36393,1992-06-10,1992,6,10,162,7,0.5,44.2,,,,,,,,,,,,,,,,Skarven
43864,1992-06-10,1992,6,10,162,19,0.5,35.06,,,,,,,,,,,,,,,,Västra Ringsjön
20270,1992-06-10,1992,6,10,162,7,0.5,3.6,,,,,,,,,,,,,,,,Granfj. Djurgårds Udde
28250,1992-06-10,1992,6,10,162,6,0.5,5.3,,,,,,,,,,,,,,,,Mariestadsviken  -site 2
51697,1992-06-10,1992,6,10,162,19,0.5,11.56,,,,,,,,,,,,,,,,Östra Ringsjön
29078,1992-06-11,1992,6,11,163,7,0.5,3.6,,,,,,,,,,,,,,,,Mälaren -erikssund
3996,1992-06-11,1992,6,11,163,7,,5.3,2.2,0.049,15.1,8.5,0.88,,,0.01,,,,,,,,Baptiste lake S.
32519,1992-06-11,1992,6,11,163,17,1.3825,4.08525,,,,,,,,,0.9035,,,,,,,Paul Lake
3861,1992-06-11,1992,6,11,163,7,,4.4,2.5,0.034,15.1,8.42,0.84,,,0.05,,,,,,,,Baptiste lake N.
38513,1992-06-11,1992,6,11,163,12,0.5,30.8,,,,,,,,,,,,,,,,Stäketbron
33513,1992-06-11,1992,6,11,163,7,0.5,3.6,,,,,,,,,,,,,,,,Prästfjärden
19681,1992-06-11,1992,6,11,163,7,0.5,19.0,,,,,,,,,,,,,,,,Galten
9385,1992-06-11,1992,6,11,163,7,0.5,5.5,,,,,,,,,,,,,,,,Blacken lake
38744,1992-06-11,1992,6,11,163,7,0.5,2.6,,,,,,,,,,,,,,,,Svinnegarnsviken
11583,1992-06-12,1992,6,12,164,17,1.258333333,2.9545,,,,,,,,,,,,,,,,Central long lake
25382,1992-06-14,1992,6,14,166,7,,4.2,3.5,0.06,,,2.1,,,0.07,,,,,,,,Lower mann lake
722,1992-06-15,1992,6,15,167,13,,0.615,5.7,2.5,2.76,,,,,,,,193.7504904,,,,,Experimental lake 224
24549,1992-06-15,1992,6,15,167,12,1.75,22.9,,,,,,,,,,,,,,,,Kvicksundsbron
35605,1992-06-15,1992,6,15,167,14,,2.0,2.0,0.093,,,,,,,,,,,,,,Shorncliffe lake
15250,1992-06-15,1992,6,15,167,17,1.091666667,7.429333333,,,,,,,,,0.2635,,,,,,,East long lake
38265,1992-06-15,1992,6,15,167,12,0.5,7.7,,,,,,,,,,,,,,,,Strängnäsbron
26264,1992-06-15,1992,6,15,167,35,,126.35,,108.35,,,,,,,,17.4,,,6.45,,,Loch leven
21655,1992-06-15,1992,6,15,167,7,0.5,8.5,,,,,,,,,,,,,,,,Grönskogssjön
23816,1992-06-15,1992,6,15,167,12,0.5,8.5,,,,,,,,,,,,,,,,Hjulstabron W.
41650,1992-06-15,1992,6,15,167,17,1.666666667,55.63333333,,,,,,,,,,,,,,,,Trout bog
30819,1992-06-15,1992,6,15,167,32,,2.5,4.45,16.0,,,,,,,,18.46,,,0.8,,,Oneida lake
21014,1992-06-15,1992,6,15,167,25,,4.0,4.25,20.0,,,,,255.0,22.0,,19.5,,,,,,Grasmere
1402,1992-06-15,1992,6,15,167,15,,1.305,3.9,3.5,5.7,,,,,,,19.1,193.7504904,,,,,Experimental lake 239
36851,1992-06-15,1992,6,15,167,16,1.5,1.35,,,,,,,,,,,,,,,,Sparkling lake
38038,1992-06-16,1992,6,16,168,7,0.5,2.6,,,,,,,,,,,,,,,,Storhjälmaren
46968,1992-06-16,1992,6,16,168,26,,5.59,4.1,8.36,,7.54,,,405.0,5.0,,18.5,,,,,,Windermere -north basin
45431,1992-06-16,1992,6,16,168,17,1.2075,4.5395,,,,,,,,,0.305,,,,,,,West long lake
41008,1992-06-16,1992,6,16,168,17,1.5,1.95,,,,,,,,,,,,,,,,Trout lake
17193,1992-06-16,1992,6,16,168,26,,20.39,1.9,25.84,,8.59,,,554.0,52.0,,19.0,,,,,,Esthwaite water
7936,1992-06-16,1992,6,16,168,25,,14.2,3.3,23.9,,,,,746.0,32.0,,19.9,,,,,,Belhalm tarn
13224,1992-06-16,1992,6,16,168,17,1.0,26.46666667,,,,,,,,,,,,,,,,Crystal bog
19941,1992-06-16,1992,6,16,168,15,,0.274,13.0,,,,,,,,,,9.617008696,,,,,Giles lake
48827,1992-06-16,1992,6,16,168,26,,19.46,4.5,19.0,,8.83,,,340.0,16.0,,18.9,,,,,,Windermere -south basin
23908,1992-06-17,1992,6,17,169,7,0.5,12.8,,,,,,,,,,,,,,,,Hulingen
1858,1992-06-17,1992,6,17,169,9,,2.31,4.4,,7.32,,,,,,,,45.29612637,,,,,Experimental lake 442
45365,1992-06-17,1992,6,17,169,16,,2.35,4.5,,,,,,,,,,11.26723077,,,,,Waynewood lake
29345,1992-06-17,1992,6,17,169,6,0.5,1.1,,,,,,,,,,,,,,,,NorraVänern -ölmeviken
33007,1992-06-17,1992,6,17,169,17,1.47,5.9732,,,,,,,,,1.5862,,,,,,,Peter Lake
12565,1992-06-18,1992,6,18,170,17,1.5,1.85,,,,,,,,,,,,,,,,Crystal lake
32520,1992-06-18,1992,6,18,170,17,1.1625,6.0405,,,,,,,,,1.01525,,,,,,,Paul Lake
25627,1992-06-18,1992,6,18,170,17,,2.25,5.1,,,,,,,,,,11.86825833,,,,,Lacawac
8638,1992-06-18,1992,6,18,170,17,1.5,1.6,,,,,,,,,,,,,,,,Big Muskellunge lake
3280,1992-06-19,1992,6,19,171,16,1.0,5.45,,,,,,,,,,,,,,,,Allequash lake
11584,1992-06-19,1992,6,19,171,17,0.92,7.4776,,,,,,,,,,,,,,,,Central long lake
18770,1992-06-21,1992,6,21,173,13,,12.3,4.0,0.049,,,,,,,,,,,,,,Goose lake
32178,1992-06-22,1992,6,22,174,18,,6.0,3.8,0.076,,,1.44,,,0.088,,,,,,,,Pine lake -north
