lake_lat,lake_long,lake
56.206,14.54,Lillesjö
59.359,17.795,Lambarfjärden
59.226,17.435,Lilla Turingen
59.811,15.521,Lien
56.104,14.491,Levrasjön
55.533,-115.89,Lesse slave lake
53.786,-114.654,Lessard lake
54.478,-109.607,Lepine lake
57.412,-112.934,Legend lake
49.543,-114.253,Lee lake
53.859,-110.509,Laurier lake
56.96,15.398,Lillasjön
50.433,-111.917,Lake newell
50.543,-112.896,Lake McGregor
58.683,-110.887,Lake Athabasca
62.631,17.536,Lill-Roten
60.598,16.276,Långsjön
52.433,-113.798,Lacombe lake
41.381,-75.292,Lacawac
53.71,-114.4,Lac ste. Anne -whole lake
53.717,-114.5,Lac ste. Anne W.
53.708,-114.4,Lac ste. Anne E.
53.837,-111.579,Lac sante
53.905,-111.19,Lac saint cyr -whole lake
53.905,-111.19,Lac saint cyr -north basin
53.893,-111.196,Lac saint cyr -east and west basin
53.943,-114.314,Lac la nonne
54.88,-112.224,Lac la biche W.
54.667,-112.033,Lac la biche E.
60.022,23.194,Lindöviken W.
59.121,14.835,Logsjön  mitt
58.792,13.255,Lurön NE.
59.638,17.62,Mälaren -erikssund
59.252,14.465,Möckeln
59.723,16.211,Magsjön
58.738,17.072,Mellanfjärden
55.496,13.762,Krageholmssjön
57.636,15.695,Nässjön
60.436,15.625,Nedre Milsbosjön
57.448,15.55,Nedre Svartsjön
60.163,16.868,Nordmyrasjön
36.051,140.378,Kasumigaura
57.167,15.394,Kållen
61.634,16.736,Källsjön
59.768,12.883,Norra Baksjön
58.501,14.678,Jungfrun NV
53.483,-117.8,Jarvis lake
53.479,-114.256,Jackfish lake
56.092,14.372,"Ivösjön, öster om Bäckaskog"
56.108,14.438,Ivösjön
53.456,-112.826,Islet lake
53.633,-114.733,Isle lake
54.833,-113.517,Island lake
54.467,-116.833,Iosegun lake
60.82,14.318,Rädsjön
43.09,-82.392,Lake huron
58.621,14.476,Humsjön
58.458,15.62,Roxen S.
53.566,-114.089,Hubbles lake
57.869,18.841,Horsan
57.222,14.816,Holmeshultasjön
60.306,13.329,Södra Marktjärnen
56.878,14.929,Hinnasjön
54.53,-110.421,Hilda lake
56.892,14.558,Salen -längst norrut
55.488,13.357,Havgårdssjön
52.404,-113.159,Haunted lake
52.668,-111.323,Hardisty lake
57.007,13.579,Harasjön
57.686,14.846,Hamnarydssjön
43.297,-79.799,Hamilton harbour
53.461,-113.091,Half moon lake
62.82,17.618,Selasjön
56.499,14.449,Hagasjön
57.64,15.758,Hökesjön
60.063,15.173,Hällsjön
55.582,13.427,Häckebergasjön
60.076,14.412,Skifsen
57.108,14.448,Gyslättasjön
57.905,16.415,Stäketbron
52.533,-113.983,Gull lake
58.763,15.145,Grissjön
56.444,-111.097,Gregoire lake
40.056,-105.617,Green valley lake
54.449,-3.02,Grasmere
60.32,14.004,Gransjön
59.494,16.811,Granfj. Djurgårds Udde
58.964,17.228,Stöpsjön
61.086,16.943,Gosjön
54.318,-115.114,Goose lake
54.282,-111.82,Goodfish lake
58.2,15.959,Glan
60.645,13.626,Gipsjön
41.376,-75.093,Giles lake
59.303,18.077,Stockholm
45.528,-81.67,Georgian bay
56.223,-118.551,George lake
59.514,18.262,Garnsviken
54.021,-110.582,Garnier lake N.
59.453,16.151,Galten
59.419,17.74,Görväln S.
58.877,16.081,Stora Gryten
59.571,17.908,Fysingen
60.819,10.98,Furnesfjorden
59.215,15.735,Storhjälmaren
62.754,17.207,Stor-Laxsjön
54.489,-111.586,Fork lake
54.234,-111.636,Floatingstone lake
57.609,15.249,Fjärasjö
55.521,13.302,Fjällfotasjön
43.287,-89.652,Fish lake
57.092,14.53,Fiolen
