Lake,lat,long
UNNAMED LAKE L77 - COMPOSITE - (AB07OB0140),59.91,-116.60972
UNNAMED LAKE L73 - COMPOSITE - (AB07PA0160),59.78389,-115.60972
UNNAMED LAKE L72 - COMPOSITE - (AB07PA0140),59.83556,-115.85528
UNNAMED LAKE L71 - COMPOSITE - (AB07PA0120),59.98194,-115.25889
UNNAMED LAKE L70 - COMPOSITE - (AB07PA0100),59.92806,-115.285
UNNAMED LAKE L69 - COMPOSITE - (AB07KF0160),57.865,-112.35528
UNNAMED LAKE L68 - COMPOSITE - (AB07KF0140),57.83667,-112.46056
UNNAMED LAKE L59 - COMPOSITE - (AB07KD0140),57.59472,-112.77917
UNNAMED LAKE L50 - COMPOSITE - (AB07KD0120),57.67333,-112.80833
UNNAMED LAKE L27 - COMPOSITE - (AB07KD0060),57.59722,-113.30583
UNNAMED LAKE L100 - COMPOSITE - (AB07OC0070),57.26583,-119.63583
UNNAMED LAKE (R1): RAMP S3 - COMPOSITE - (AB07NA0330),59.1985,-110.68682
UNNAMED LAKE (PREVIOUSLY 15 MILE LAKE) - COMPOSITE - (AB07DA2090),56.89417,-110.90333
UNNAMED LAKE (P98): RAMP WF7 - COMPOSITE - (AB07CC0420),56.78304,-111.78949
UNNAMED LAKE (P97): RAMP WF6 - COMPOSITE - (AB07DA3210),56.80996,-111.72061
UNNAMED LAKE (P96): RAMP WF5 - COMPOSITE - (AB07DA3190),56.80013,-111.91692
UNNAMED LAKE (P94): RAMP WF4 - COMPOSITE - (AB07DA3170),57.14641,-111.9824
UNNAMED LAKE (P7): RAMP NE8 - COMPOSITE - (AB07DC0560),57.23175,-110.74492
UNNAMED LAKE (P49): RAMP BM11 - COMPOSITE - (AB07DA3110),57.69361,-111.90582
UNNAMED LAKE (P27): RAMP NE7 - COMPOSITE - (AB07DC0540),57.14659,-110.86283
UNNAMED LAKE (P23): RAMP NE6 - COMPOSITE - (AB07DA3130),57.26945,-110.90376
UNNAMED LAKE (P13): RAMP BM10 - COMPOSITE - (AB07DA3090),57.3141,-112.39454
UNNAMED LAKE (O-2/E67): RAMP CM4 - COMPOSITE - (AB07PA0280),59.31038,-115.33011
UNNAMED LAKE (O-10): RAMP S5 - COMPOSITE - (AB07NA0310),59.12423,-110.68666
UNNAMED LAKE (O-1/E55):RAMP CM5 - COMPOSITE - (AB07PC0080),59.23777,-114.52473
UNNAMED LAKE (N. OF WYLIE LAKE) - COMPOSITE - (AB07MD0130),59.4325,-110.30611
UNNAMED LAKE (L98) - COMPOSITE - (AB07HF0120),57.6125,-117.97361
UNNAMED LAKE (L97) - COMPOSITE - (AB07HF0100),57.65528,-117.89028
UNNAMED LAKE (L96) - COMPOSITE - (AB07JF0110),58.205,-116.90361
UNNAMED LAKE (L92) - COMPOSITE - (AB07HC0180),56.91444,-116.95167
UNNAMED LAKE (L90) - COMPOSITE - (AB07HC0160),56.97083,-116.7
UNNAMED LAKE (L9) - COMPOSITE - (AB07DC0400),57.18472,-110.45056
UNNAMED LAKE (L89) - COMPOSITE - (AB07HE0110),57.38056,-116.90361
UNNAMED LAKE (L88) - COMPOSITE - (AB07HE0090),57.21833,-116.95167
UNNAMED LAKE (L86) - COMPOSITE - (AB07HE0050),57.55639,-116.2325
UNNAMED LAKE (L84) - COMPOSITE - (AB07HF0080),58.20278,-116.44306
UNNAMED LAKE (L80) - COMPOSITE - (AB07PA0260),59.66,-116.32028
UNNAMED LAKE (L8): RAMP NE3 - COMPOSITE - (AB07DC0430),57.0458,-110.5975
UNNAMED LAKE (L79) - COMPOSITE - (AB07PA0240),59.71389,-116.36833
UNNAMED LAKE (L76) - COMPOSITE - (AB07PA0220),59.94361,-116.54167
UNNAMED LAKE (L75) - COMPOSITE - (AB07PA0200),59.66,-115.97806
UNNAMED LAKE (L74) - COMPOSITE - (AB07PA0180),59.615,-115.61833
UNNAMED LAKE (L7): RAMP NE2 - COMPOSITE - (AB07DC0460),57.0903,-110.7519
UNNAMED LAKE (L60): RAMP BM3 - COMPOSITE - (AB07KD0160),57.65363,-112.61777
UNNAMED LAKE (L6) - COMPOSITE - (AB07DA1990),57.07444,-110.82917
UNNAMED LAKE (L58) - COMPOSITE - (AB07JE0030),57.47528,-113.11667
UNNAMED LAKE (L57) - COMPOSITE - (AB07JE0050),57.44139,-113.23333
UNNAMED LAKE (L56) - COMPOSITE - (AB07DB0280),57.20167,-113.0625
UNNAMED LAKE (L55) - COMPOSITE - (AB07DB0260),57.1825,-112.6625
UNNAMED LAKE (L51) - COMPOSITE - (AB07DB0210),57.1825,-112.6625
UNNAMED LAKE (L5) - COMPOSITE - (AB07DA2000),57.0425,-110.88194
UNNAMED LAKE (L49): RAMP BM5 - COMPOSITE - (AB07KD0100),57.76,-112.5967
UNNAMED LAKE (L48) - COMPOSITE - (AB07DA2370),57.705,-112.1875
UNNAMED LAKE (L47): RAMP BM4 - COMPOSITE - (AB07KD0010),57.68939,-112.7361
UNNAMED LAKE (L45) - COMPOSITE - (AB07DD0560),57.84194,-111.135
UNNAMED LAKE (L44) - COMPOSITE - (AB07DD0540),57.91611,-111.09167
UNNAMED LAKE (L43) - COMPOSITE - (AB07DD0520),57.91806,-111.005
UNNAMED LAKE (L42) - COMPOSITE - (AB07DD0500),57.98528,-110.98028
UNNAMED LAKE (L40) - COMPOSITE - (AB07DD0460),57.94306,-110.67306
UNNAMED LAKE (L4): RAMP NE1 - COMPOSITE - (AB07DC0200),57.1519,-110.85141
UNNAMED LAKE (L39/E9/A150): RAMP NE4 - COMPOSITE - (AB07DD0430),57.9583,-110.3833
UNNAMED LAKE (L33) - COMPOSITE - (AB07DA2270),57.42472,-112.24639
UNNAMED LAKE (L28): RAMP BM6 - COMPOSITE - (AB07KD0030),57.85559,-112.97169
UNNAMED LAKE (L21) - COMPOSITE - (AB07DA2230),57.60806,-112.5
UNNAMED LAKE (L15) - COMPOSITE - (AB07DC0280),57.13278,-110.2
UNNAMED LAKE (L14) - THICKWOOD HILLS COMPOSITE - (AB07DC0170),57.26139,-110.20111
UNNAMED LAKE (L13) - COMPOSITE - (AB07DC0310),57.27444,-110.24167
UNNAMED LAKE (L11) - COMPOSITE - (AB07DC0370),57.40417,-110.28083
UNNAMED LAKE (L102) - COMPOSITE - (AB07FC0040),57.11722,-119.88583
UNNAMED LAKE (L10) - COMPOSITE - (AB07DC0230),57.46583,-110.43722
UNNAMED LAKE (E15): RAMP NE5 - COMPOSITE - (AB07DA3050),56.8917,-110.90001
UNNAMED LAKE (A86): RAMP SM7 - COMPOSITE - (AB07CE0640),55.68109,-111.82675
UNNAMED LAKE (A59): RAMP WF3 - COMPOSITE - (AB07CB1010),55.91089,-112.86432
UNNAMED LAKE (A47): RAMP WF2 - COMPOSITE - (AB07JB0400),56.24517,-113.14113
UNNAMED LAKE (A42): RAMP WF1 - COMPOSITE - (AB07JB0370),56.35128,-113.1844
UNNAMED LAKE (A301): RAMP S4 - COMPOSITE - (AB07MD0410),59.17083,-110.56
UNNAMED LAKE (A300) - COMPOSITE - (AB07CB1030),56.19639,-113.15766
UNNAMED LAKE (A29): RAMP SM5 - COMPOSITE - (AB07CE0660),56.16835,-111.54464
UNNAMED LAKE (A26): RAMP SM6 - COMPOSITE - (AB07CE0680),56.22268,-111.1693
UNNAMED LAKE (A24): RAMP SM9 - COMPOSITE - (AB07CE0700),56.2225,-111.25179
UNNAMED LAKE (A21): RAMP SM10 - COMPOSITE - (AB07CE0720),56.26074,-111.26121
UNNAMED LAKE (94): RAMP SM1 - COMPOSITE - (AB07CE0840),55.75829,-110.75
UNNAMED LAKE (82): RAMP SM2 - COMPOSITE - (AB07CE0820),55.7917,-111.825
UNNAMED LAKE (6): RAMP NE10 - COMPOSITE - (AB07CD0260),56.6417,-110.2
UNNAMED LAKE (4): RAMP NE9 - COMPOSITE - (AB07DA3150),56.7667,-110.9
UNNAMED LAKE (28): RAMP SM4 - COMPOSITE - (AB07CE0800),56.15135,-111.23158
UNNAMED LAKE (27): RAMP SM3 - COMPOSITE - (AB07CE0780),56.2,-111.3667
UNNAMED LAKE (25): RAMP SM8 - COMPOSITE - (AB07CE0760),56.2083,-111.19999
UNNAMED LAKE (1): RAMP WF8 - THICKWOOD HILLS COMPOSITE - (AB07DB0180),56.76946,-111.94821
UNNAMED LAKE - NORTH OF COWPER L.COMPOSITE - (AB07CE0220),55.95278,-110.38833
UNNAMED LAKE - L108 (S. OF WOODMAN LAKE) - COMPOSITE - (AB07NA0180),59.48556,-110.48194
UNNAMED LAKE - INTO COTTONWOOD CRCL. COMPOSITE - (AB07CE0160),56.17917,-111.10444
UNNAMED LAKE - COMPOSITE - (AB07PC0030),59.48028,-115.16194
UNNAMED LAKE - COMPOSITE - (AB07PC0010),59.40806,-114.75917
UNNAMED LAKE - COMPOSITE - (AB07PA0050),59.31083,-115.35083
UNNAMED LAKE - COMPOSITE - (AB07PA0030),59.48556,-115.52694
UNNAMED LAKE - COMPOSITE - (AB07PA0010),59.24944,-116.02833
UNNAMED LAKE - COMPOSITE - (AB07OB0110),59.05444,-116.2475
UNNAMED LAKE - COMPOSITE - (AB07NB0070),59.76111,-110.77722
UNNAMED LAKE - COMPOSITE - (AB07NA0160),59.46028,-110.82389
UNNAMED LAKE - COMPOSITE - (AB07KB0030),59.23861,-114.52417
UNNAMED LAKE - COMPOSITE - (AB07KB0010),59.26111,-114.35194
UNNAMED LAKE - COMPOSITE - (AB07JA0110),56.23861,-114.38889
UNNAMED LAKE - COMPOSITE - (AB07HC0090),56.6575,-119.2925
UNNAMED LAKE - COMPOSITE - (AB07HB0040),56.76806,-116.6325
UNNAMED LAKE - COMPOSITE - (AB07HA0280),56.19444,-116.84222
UNNAMED LAKE - COMPOSITE - (AB07GF0100),54.91194,-118.13444
UNNAMED LAKE - COMPOSITE - (AB07BF0090),55.975,-116.48444
Ulvhällsfjärden,59.36783167,17.05508222
Dyrsjön,60.6522,13.49135
TYRRELL LAKE - COMPOSITE - (AB05AF0010),49.38333,-112.26667
TWO LAKE (L104) - COMPOSITE - (AB07GC0080),54.35139,-119.785
TWIN LAKE(WEST)(L94) - COMPOSITE - (AB07HC0200),57.44361,-117.5525
TWIN LAKE - COMPOSITE - (AB05EA0290),52.91667,-114.33333
Tväringen,62.244407,15.6764749
TUNSTALL RESERVOIR NEAR DAM WALL WEST,54.76245534,-1.9024148
TULIP LAKE - COMPOSITE - (AB07NB0030),59.90528,-111.15278
TUCKER LAKE - SITE 2 COMPOSITE - (AB06AC0735),54.52389,-110.6
TUCKER LAKE - COMPOSITE - (AB06AC0740),54.53611,-110.63056
Tryssjön,60.43467577,15.08336456
Trout bog,46.041,-89.686
Trout,46.029,-89.665
Ekoln special,59.78748,17.61614
Trehörningen,59.53075245,18.35536277
TRAP LAKE (L105) - COMPOSITE - (AB07GC0100),54.61944,-119.96917
Trätten S,60.03247475,15.9559955
TRADING POST LAKE (L101) - COMPOSITE - (AB07FC0020),57.07444,-119.76306
TOUCHWOOD LAKE - SOUTH BASIN COMPOSITE - (AB06AB0457),54.79194,-111.41361
TOUCHWOOD LAKE - COMPOSITE - (AB06AB0150),54.83889,-111.38028
Tomeshultagölen,56.73875,15.40685227
